Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Neurobiological Changes Induced by Mindfulness and Meditation: A Systematic Review","Mindfulness and meditation practices, particularly Mindfulness-Based Stress Reduction (MBSR), improve emotional regulation, brain structure, reduce anxiety, and enhance stress resilience.","Andrea Calderone, Desirée Latella, Federica Impellizzeri, Paolo de Pasquale, F. Fama’, A. Quartarone, R. S. Calabrò",2024,40,"Meditation and mindfulness, rooted in ancient traditions, enhance mental well-being by cultivating awareness and emotional control. It has been shown to induce neuroplasticity, increase cortical thickness, reduce amygdala reactivity, and improve brain connectivity and neurotransmitter levels, leading to improved emotional regulation, cognitive function, and stress resilience. This systematic review will synthesize research on neurobiological changes associated with mindfulness and meditation practices.Studies were identified from an online search of PubMed, Web of Science, Cochrane Library, and Embase databases without any search time range. This review has been registered on Open OSF (n) GV2JY.Mindfulness-Based Stress Reduction (MBSR) enhances brain regions related to emotional processing and sensory perception, improves psychological outcomes like anxiety and depression, and exhibits unique mechanisms of pain reduction compared to placebo.This review highlights that mindfulness, particularly through MBSR, improves emotional regulation and brain structure, reduces anxiety, and enhances stress resilience. Future research should focus on diverse populations and naturalistic settings to better understand and optimize these benefits.","systematic review","Biomedicines","1","10.3390/biomedicines12112613","https://consensus.app/papers/neurobiological-changes-induced-by-mindfulness-and-calderone-latella/20d4b28f20e25668bb7642b2d1dccf03/"
"How do mindfulness-based cognitive therapy and mindfulness-based stress reduction improve mental health and wellbeing? A systematic review and meta-analysis of mediation studies.","Mindfulness, rumination, and worry significantly mediate the effects of mindfulness-based interventions on mental health and wellbeing.","Jenny Gu, C. Strauss, R. Bond, K. Cavanagh",2015,1545,"","meta-analysis","Clinical psychology review","1","10.1016/j.cpr.2015.01.006","https://consensus.app/papers/how-do-mindfulnessbased-cognitive-therapy-and-gu-strauss/3c48d371f58350648e1779184c40d639/"
"Mindfulness-based interventions: an overall review","Mindfulness-based interventions (MBIs) are effective for improving various biopsychosocial conditions and are relatively safe, but more high-quality research is needed to confirm their cost-effectiveness and effectiveness in various health conditions.","Dexing Zhang, E. K. Lee, Eva Mak, CY Ho, S. Wong",2021,463,"This is an overall review on mindfulness-based interventions (MBIs). We identified studies in PubMed, EMBASE, CINAHL, PsycINFO, AMED, Web of Science and Google Scholar using keywords including 'mindfulness', 'meditation', and 'review', 'meta-analysis' or their variations. MBIs are effective for improving many biopsychosocial conditions, including depression, anxiety, stress, insomnia, addiction, psychosis, pain, hypertension, weight control, cancer-related symptoms and prosocial behaviours. It is found to be beneficial in the healthcare settings, in schools and workplace but further research is warranted to look into its efficacy on different problems. MBIs are relatively safe, but ethical aspects should be considered. Mechanisms are suggested in both empirical and neurophysiological findings. Cost-effectiveness is found in treating some health conditions. Inconclusive or only preliminary evidence on the effects of MBIs on PTSD, ADHD, ASD, eating disorders, loneliness and physical symptoms of cardiovascular diseases, diabetes, and respiratory conditions. Furthermore, some beneficial effects are not confirmed in subgroup populations. Cost-effectiveness is yet to confirm for many health conditions and populations. Many mindfulness systematic reviews and meta-analyses indicate low quality of included studies, hence high-quality studies with adequate sample size and longer follow-up period are needed. More research is needed on online mindfulness trainings and interventions to improve biopsychosocial health during the COVID-19 pandemic; Deeper understanding of the mechanisms of MBIs integrating both empirical and neurophysiological findings; Long-term compliance and effects of MBIs; and development of mindfulness plus (mindfulness+) or personalized mindfulness programs to elevate the effectiveness for different purposes.","systematic review","British Medical Bulletin","1","10.1093/bmb/ldab005","https://consensus.app/papers/mindfulnessbased-interventions-an-overall-review-zhang-lee/675c2932cb7459e99f1688e173b8376a/"
"Mindfulness-Based Cognitive Therapy in Clinical Practice: A Systematic Review of Neurocognitive Outcomes and Applications for Mental Health and Well-Being","Mindfulness-based cognitive therapy (MBCT) effectively reduces symptoms of depression, anxiety, and stress, and enhances cognitive functions and emotional regulation across diverse populations.","E. Gkintoni, S. Vassilopoulos, Georgios Nikolaou",2025,26,": This systematic review outlines the neurocognitive outcomes and mechanisms of mindfulness-based cognitive therapy (MBCT) that influence subjective well-being. MBCT is a clinical intervention that integrates cognitive therapy with mindfulness practices to prevent depression relapses and improve mental health.: The review focuses on the effects of MBCT on brain structure changes, cognitive processes, and emotional regulation, which are related to improvements in subjective well-being. A total of 87 studies were included in the review to assess the effectiveness of MBCT.: Evidence from the studies highlights the effectiveness of MBCT in reducing symptoms of depression, anxiety, and stress. MBCT was also shown to enhance cognitive functions and emotional regulation across diverse populations. These findings point to the potential for MBCT to induce neuroplastic changes in the brain and widen the applicability of the treatment for a variety of disorders, calling for further research into long-term benefits and underlying neurobiological mechanisms.: The review emphasizes the potential of MBCT to bring about neuroplastic changes, calling for further research into its long-term benefits and the underlying neurobiological mechanisms. This study underlines the need to incorporate multidisciplinary measures by integrating psychology and neuroscience to comprehend comprehensively the effects of MBCT.","systematic review","Journal of Clinical Medicine","1","10.3390/jcm14051703","https://consensus.app/papers/mindfulnessbased-cognitive-therapy-in-clinical-practice-gkintoni-vassilopoulos/df00bd4543ad546194f1e033e24ff82a/"
"Brief Mindfulness Meditation Improves Emotion Processing","Brief mindfulness meditation, such as JW2016, can improve emotion processing and focus without negatively impacting mood, making it a convenient and safe method for individuals with limited time or money.","Ran Wu, Lin-Lin Liu, Hong Zhu, Wen-Jun Su, Zhi-Yong Cao, Shi-Yang Zhong, Xingdong Liu, Chun-Lei Jiang",2019,90,"Mindfulness-based interventions have previously been shown to have positive effects on psychological well-being. However, the time commitment, teacher shortage, and high cost of classic mindfulness interventions may have hindered efforts to spread the associated benefits to individuals in developing countries. Brief mindfulness meditation (BMM) has recently received attention as a way to disseminate the benefits of mindfulness-based interventions. Most existing BMM methods are adaptations of the classic approach. Few studies have investigated the mechanisms underlying the beneficial effects of BMM. We developed a 15-min BMM named JW2016, which is based on the core concepts of mindfulness, Anapanasati (breath meditation of Buddhist Vipassana), our practical experience, and the results of scientific reports on meditation. We investigated the effects of this BMM on mood and emotion processing in an effort to create an effective, convenient, safe, and standardized BMM method that could benefit individuals with limited time or money to devote to meditation. Forty-six healthy participants (aged 18-25 years) were randomly allocated to the BMM group (= 23) or the emotional regulation education (ERE) control group (= 23). Forty-two of the study participants cooperated fully in all measurements and interventions (one time daily for seven consecutive days). Mood was measured with the Centre for Epidemiological Studies-Depression scale (CES-D) and the State Anxiety Inventory (SAI). Emotion processing was evaluated by assessing performance on an emotion intensity task, an emotional memory task, and an emotional dot-probe task. After intervention, the BMM group, but not the ERE group, showed a significant decreases in emotional intensity in response to positive as well as negative emotional stimuli, response time for emotional memory, and duration of attention bias toward negative emotional stimuli. Negative effects on mood state were found in the ERE group but not in the BMM group. This study demonstrated that BMM may improve aspects of emotion processing such as emotion intensity, emotional memory, and emotional attention bias. JW2016 BMM may be an effective, convenient, safe and standardized way to help practitioners remain focused and peaceful without any negative effect on emotion.","rct","Frontiers in Neuroscience","2","10.3389/fnins.2019.01074","https://consensus.app/papers/brief-mindfulness-meditation-improves-emotion-wu-liu/8c0a6d3f5545587187b6a962aec5b45c/"
"Mindfulness improves psychological health and supports health behaviour cognitions: Evidence from a pragmatic RCT of a digital mindfulness-based intervention.","Digital mindfulness practice for 30 days significantly improved psychological health and supported healthy behaviors, partially due to improved attitudes and stronger behavioral intentions.","Masha Remskar, Max J. Western, Ben Ainsworth",2024,14,"Mindfulness-based interventions can improve psychological health; yet the mechanisms of change are underexplored. This pre-registered remote RCT evaluated a freely accessible digital mindfulness programme aiming to improve well-being, mental health and sleep quality. Health behaviour cognitions were explored as possible mediators. Participants from 91 countries (N = 1247, M = 27.03 [9.04]) were randomized to 30 days of mindfulness practice or attention-matched control condition. Measures of well-being, depression, anxiety, stress, sleep quality, barriers self-efficacy, self-regulation and behavioural predictors (e.g., attitudes and behavioural intentions) were taken at baseline, 1-month (post-intervention) and 2-months (follow-up). Linear regression examined intervention effects between and within groups. Longitudinal mediation analyses explored indirect effects through health behaviour cognitions. Three hundred participants completed post-intervention measures. Those receiving mindfulness training reported significantly better well-being (M = 2.34, 95%CIs .45-4.24, p = .016), lower depression (M = -1.47, 95%CIs -2.38 to -.56, p = .002) and anxiety symptoms (M = -.77, 95%CIs -1.51 to -.02, p = .045) than controls. Improvements in well-being and depression were maintained at follow-up. Intervention effects on primary outcomes were mediated by attitudes towards health maintenance and behavioural intentions. Mediating effects of attitudes remained when controlling for prior scores in models of depression and well-being. Digital, self-administered mindfulness practice for 30 days meaningfully improved psychological health, at least partially due to improved attitudes towards health behaviours and stronger behavioural intentions. This trial found that digital mindfulness is a promising and scalable well-being tool for the general population, and highlighted its role in supporting health behaviours.","rct","British journal of health psychology","1","10.1111/bjhp.12745","https://consensus.app/papers/mindfulness-improves-psychological-health-and-supports-remskar-western/f2bb2b0d245352ca9f7bffeec445ebf4/"
"Training-related improvements in mental well-being through reduction in negative interpretation bias: A randomized trial of online socio-emotional dyadic and mindfulness interventions.","Online mindfulness-based and partner-based socio-emotional interventions can reduce depression and emotion regulation difficulties, with socio-emotional training increasing multidimensional resilience and reducing negative interpretation bias.","Malvika Godara, Martin Hecht, Tania Singer",2024,8,"","rct","Journal of affective disorders","1","10.1016/j.jad.2024.03.037","https://consensus.app/papers/trainingrelated-improvements-in-mental-wellbeing-godara-hecht/54a038d393da5088a92f4213fd17280a/"
"How Mindfulness Training Promotes Positive Emotions: Dismantling Acceptance Skills Training in Two Randomized Controlled Trials","Mindfulness interventions, when combined with acceptance training, effectively boost positive emotions in daily life.","E. Lindsay, Brian Chin, Carol M. Greco, S. Young, Kirk Warren Brown, Aidan G. C. Wright, Joshua M. Smyth, Deanna Burkett, J. Creswell",2018,171,"Mindfulness meditation interventions-which train skills in monitoring present-moment experiences with a lens of acceptance-have shown promise for increasing positive emotions. Using a theory-based approach, we hypothesized that learning acceptance skills in mindfulness interventions helps people notice more positive experiences in daily life, and tested whether removing acceptance training from mindfulness interventions would eliminate intervention-related boosts in positive affect. In 2 randomized controlled trials (RCTs) of stressed community adults, mindfulness skills were dismantled into 2 structurally equivalent interventions: (a) training in both monitoring and acceptance (Monitor + Accept) and (b) training in monitoring only (Monitor Only) without acceptance training. Study 1 tested 8-week group-based Monitor + Accept and Monitor Only interventions compared with a no treatment control group. Study 2 tested 2-week smartphone-based Monitor + Accept and Monitor Only interventions compared with an active control training. In both studies, end-of-day and momentary positive affect and negative affect were measured in daily life for 3 days pre- and post-intervention using ambulatory assessments. As predicted, across 2 RCTs, Monitor + Accept training increased positive affect compared with both Monitor Only and control groups. In Study 1, this effect was observed in end-of-day positive affect. In Study 2, this effect was found in both end-of-day and momentary positive affect outcomes. In contrast, all active interventions in Studies 1 and 2 decreased negative affect. These studies provide the first experimental evidence that developing an orientation of acceptance toward present-moment experiences is a central mechanism of mindfulness interventions for boosting positive emotions in daily life. (PsycINFO Database Record (c) 2018 APA, all rights reserved).","rct","Journal of Personality and Social Psychology","1","10.1037/pspa0000134","https://consensus.app/papers/how-mindfulness-training-promotes-positive-emotions-lindsay-chin/9d65e4898b7b52a1b008f733e1a55644/"
"Mindfulness-based programmes for mental health promotion in adults in nonclinical settings: A systematic review and meta-analysis of randomised controlled trials","Mindfulness-based programmes can promote mental health in nonclinical settings, but their effectiveness varies across different settings and may not be universally beneficial.","J. Galante, C. Friedrich, Anna F Dawson, M. Modrego-Alarcón, P. Gebbing, Irene Delgado-Suárez, Radhika Gupta, L. Dean, T. Dalgleish, I. White, Peter B. Jones",2021,208,"There is an urgent need for mental health promotion in nonclinical settings. Mindfulness-based programmes (MBPs) are being widely implemented to reduce stress, but a comprehensive evidence synthesis is lacking. We reviewed trials to assess whether MBPs promote mental health relative to no intervention or comparator interventions. Following a detailed preregistered protocol (PROSPERO CRD42018105213) developed with public and professional stakeholders, 13 databases were searched to August 2020 for randomised controlled trials (RCTs) examining in-person, expert-defined MBPs in nonclinical settings. Two researchers independently selected, extracted, and appraised trials using the Cochrane Risk-of-Bias Tool 2.0. Primary outcomes were psychometrically validated anxiety, depression, psychological distress, and mental well-being questionnaires at 1 to 6 months after programme completion. Multiple testing was performed using p < 0.0125 (Bonferroni) for statistical significance. Secondary outcomes, meta-regression and sensitivity analyses were prespecified. Pairwise random-effects multivariate meta-analyses and prediction intervals (PIs) were calculated. A total of 11,605 participants in 136 trials were included (29 countries, 77% women, age range 18 to 73 years). Compared with no intervention, in most but not all scenarios MBPs improved average anxiety (8 trials; standardised mean difference (SMD) = -0.56; 95% confidence interval (CI) -0.80 to -0.33; p-value < 0.001; 95% PI -1.19 to 0.06), depression (14 trials; SMD = -0.53; 95% CI -0.72 to -0.34; p-value < 0.001; 95% PI -1.14 to 0.07), distress (27 trials; SMD = -0.45; 95% CI -0.58 to -0.31; p-value < 0.001; 95% PI -1.04 to 0.14), and well-being (9 trials; SMD = 0.33; 95% CI 0.11 to 0.54; p-value = 0.003; 95% PI -0.29 to 0.94). Compared with nonspecific active control conditions, in most but not all scenarios MBPs improved average depression (6 trials; SMD = -0.46; 95% CI -0.81 to -0.10; p-value = 0.012, 95% PI -1.57 to 0.66), with no statistically significant evidence for improving anxiety or distress and no reliable data on well-being. Compared with specific active control conditions, there is no statistically significant evidence of MBPs' superiority. Only effects on distress remained when higher-risk trials were excluded. USA-based trials reported smaller effects. MBPs targeted at higher-risk populations had larger effects than universal MBPs. The main limitation of this review is that confidence according to the Grading of Recommendations Assessment, Development and Evaluation (GRADE) approach is moderate to very low, mainly due to inconsistency and high risk of bias in many trials. Compared with taking no action, MBPs of the included studies promote mental health in nonclinical settings, but given the heterogeneity between studies, the findings do not support generalisation of MBP effects across every setting. MBPs may have specific effects on some common mental health symptoms. Other preventative interventions may be equally effective. Implementation of MBPs in nonclinical settings should be partnered with thorough research to confirm findings and learn which settings are most likely to benefit.","meta-analysis","PLoS Medicine","1","10.1371/journal.pmed.1003481","https://consensus.app/papers/mindfulnessbased-programmes-for-mental-health-promotion-galante-friedrich/c141f0c70df85584b7e51269bec311b4/"
"Mindfulness-based stress reduction and mindfulness-based cognitive therapy for psychological health and well-being in nonclinical samples: A systematic review and meta-analysis.","Mindfulness-Based Stress Reduction and Mindfulness-Based Cognitive Therapy (MBCT) significantly improve psychological health and well-being in non-clinical samples, with MBCT showing larger effects than MBSR.","Dawn Querstret, L. Morison, S. Dickinson, M. Cropley, M. John",2020,214,"Much of the burden associated with poor mental health is associated with symptom experience in the general population. We conducted a systematic review and meta-analysis of studies conducted in non-clinical samples, evaluating Mindfulness-Based Programs (MBPs) for outcomes related to psychological health and well-being. We focussed on Mindfulness-Based Stress Reduction (MBSR) and Mindfulness-Based Cognitive Therapy (MBCT) because they have the strongest evidence base. We searched MEDLINE, PsycINFO, EMBASE and CINAHL (2006 – February, 2019) for published peer-reviewed journals articles of intervention studies evaluating MBCT or MBSR for psychological health and well-being in non-clinical samples. Data were pooled using a random-effects model and effect estimates were reported as Hedges’ g. We included 49 studies conducted in non-clinical samples (n=4733). When compared to a passive control, MBPs significantly reduced symptoms of rumination/worry ( g =-1.13, [-2.17, -0.08]), stress/psychological distress (g=-0.52 [-0.68, -0.36]), depression [g=-0.45 [-0.64, -0.26]), and anxiety (g=-0.44 [-0.65, -0.23]); and significantly improved quality of life/well-being (g=0.32 [0.10, 0.54]). In general, MBCT generated larger effect sizes than MBSR for all outcomes. This study provides evidence that in non-clinical samples, MBPs are associated with benefits to health and well-being. These findings add to the growing evidence-base suggesting that MBSR and MBCT may be effective approaches for sub-clinical levels of mental ill-health and could form part of the public mental health agenda. fibromyalgia; HIV/AIDS; pregnancy;","meta-analysis","International Journal of Stress Management","1","10.1037/str0000165","https://consensus.app/papers/mindfulnessbased-stress-reduction-and-mindfulnessbased-querstret-morison/2fe4098c01175e87b5dfdaaf115e78d1/"
