Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Cognitive interventions for healthy older adults: A systematic meta-review","Cognitive training is effective for cognitively healthy older adults, but more research is needed on cognitive stimulation and multicomponent protocols.","V. Velloso, Sofia Latgé-Tovar, Iris Bomilcar, D. Mograbi",2025,8,"","meta-analysis","International Journal of Clinical and Health Psychology : IJCHP","1","10.1016/j.ijchp.2024.100538","https://consensus.app/papers/cognitive-interventions-for-healthy-older-adults-a-velloso-latg%C3%A9-tovar/41b022264a7e5e778fe030c8724a7e7b/"
"Single-domain and multidomain lifestyle interventions for the prevention of cognitive decline in older adults who are cognitively unimpaired: a systematic review and network meta-analysis.","Combining physical exercise and cognitive training is the strongest method to improve global cognition in older adults who are cognitively unimpaired.","Augusto J. Mendes, F. Ribaldi, Ozge Sayin, Giorgi Khachvani, Roberta Mulargia, Gabriele Volpara, Giulia Remoli, Umberto Nencha, Stefano Gianonni-Luza, Stefano F. Cappa, Giovanni B. Frisoni",2025,3,"","meta-analysis","The lancet. Healthy longevity","1","10.1016/j.lanhl.2025.100762","https://consensus.app/papers/singledomain-and-multidomain-lifestyle-interventions-mendes-ribaldi/56d64725552e532d8a31fe827a47fbf3/"
"Remote, lower-intensity, multidomain lifestyle intervention for subjective cognitive decline or mild cognitive impairment (APPLE-Tree): a multicentre, single-masked, randomised controlled trial.","APPLE-Tree is an accessible, low-intensity dementia prevention program that shows small improvements in cognition for adults with subjective cognitive decline or mild cognitive impairment.","Harriet Demnitz-King, Mariam O Adeleke, J. Barber, Michaela Poppe, J. Budgett, Sweedal Alberts, Larisa Duffy, Anne-Marie Minihane, R. Gillings, Hannah Chapman, R. I. Espinoza Jeraldo, Oliver Kelsey, M. Muralidhar, Sedigheh Zabihi, Elisa Aguirre, Nicholas Bass, A. Betz, H. Brodaty, Alexandra Burton, Paul Higgs, Rachael M Hunter, Jonathan D Huntley, Helen C Kales, Iain A Lang, N. Marchant, S. Morgan‐Trimmer, P. Rapaport, Miguel Rio, Irene Petersen, Zuzana Walker, Kate Walters, Sube Banerjee, Joanne Rodda, Marina Palomo, Claudia Cooper",2025,1,"","rct","The lancet. Healthy longevity","1","10.1016/j.lanhl.2025.100777","https://consensus.app/papers/remote-lowerintensity-multidomain-lifestyle-demnitz-king-adeleke/02870158c71b5eb484aca6c8cc9d6d73/"
"Cognitive Enhancement Strategies for Older Adults: An Evaluation of Different Training Modalities to Improve Executive Function—A Systematic Review and Meta-Analysis","Aerobic exercise interventions improved executive function more than resistance training in older adults, but without statistically significant differences.","Sergi Rodríguez-Rodríguez, Max Canet-Vintró, Sang Ouk Wee, Jacobo Rodríguez-Sanz, Carlos López-de-Celis, G. R. Oviedo, Noé Labata-Lezáun, Albert Pérez-Bellmunt",2024,9,"(1): The aging population is expected to triple by 2050. Executive functions decline with age, impacting daily tasks, and this is associated with neurodegenerative diseases. Aerobic and resistance exercises positively affect cognitive function in older adults by influencing growth markers. However, the modalities of exercise and the optimal parameters for maximum cognitive benefits remain unclear. (2): A meta-analysis of randomized clinical trials (RCTs) was conducted. The systematic search was on slowing cognitive decline and performed in the PubMed/MEDLINE and Cochrane Library databases. Articles were included if participants were ≥65 years, healthy, and performing resistance or aerobic exercise, and they were excluded if there was a combination of training and if they have neurological disease or cognitive impairment. (3): The search strategy found a total of 1635 studies. After removing duplicates and assessing the inclusion and exclusion criteria, eight articles were included in the meta-analysis, with a total of 463 healthy older adults analyzed. No significant differences between the intervention groups and the control groups after the aerobic or resistance programs were found. (4): Aerobic exercise interventions improved executive function more than resistance training in older adults, but without statistically significant differences. This can serve as a guide to see, with caution, whether we need a multidisciplinary approach to be more effective in improving the cortical health of older adults.","meta-analysis","Journal of Clinical Medicine","1","10.3390/jcm13051301","https://consensus.app/papers/cognitive-enhancement-strategies-for-older-adults-an-rodr%C3%ADguez-rodr%C3%ADguez-canet-vintr%C3%B3/74fe7bccf028560d99985b2c234d3cee/"
"The effectiveness of real-life cognitive and physical interventions on cognitive functioning in healthy older adults: A systematic review of the effects of education and training duration.","Cognitive interventions in healthy older adults improve memory, executive, and global cognitive functions, with higher education benefiting more from cognitive training and lower education benefiting more from cognitive stimulation.","Samira Vafa, Arjun Thanaraju, Jee Kei Chan, Hanis Atasha Harris, Xiou Wen Chan, Khushi Todi, Annette Shamala Arokiaraj, Y. Chia, Michael Jenkins, Aleya A. Marzuki",2025,3,"Physical and cognitive interventions are deemed the primary methods of improving cognitive functioning in healthy older adults. However, the effectiveness of these interventions is still debated. This systematic review, synthesised findings from the literature on four different types of interventions: physical activities, cognitive training, cognitive stimulation and a combined intervention. We searched six databases for each intervention category. Findings demonstrated that 65% of the studies across all intervention groups reported improvement in the experimental group following the intervention. Furthermore, memory, executive and global cognitive functions were the most reported improvements post-intervention. Additionally, participants with higher education benefited more from cognitive training (an intervention that targets a specific cognitive domain), while those with lower education gained more following cognitive stimulation (an intervention that targets general domains). Lastly, in sub-types of physical activity, cognitive stimulation and combined category, longer durations (more than 20 sessions) were associated with significant cognitive improvements. Conversely, in cognitive training, having less than 20 sessions led to significant results. Findings indicated an interaction of education and intervention duration with significant outcomes post-intervention. In conclusion, this review demonstrated the importance of intervention type, duration and education in understanding cognitive improvement post-intervention.","systematic review","Applied psychology. Health and well-being","1","10.1111/aphw.12651","https://consensus.app/papers/the-effectiveness-of-reallife-cognitive-and-physical-vafa-thanaraju/0ee817d698db59aa8a554dfaa8dac9e9/"
"Efficacy of lifestyle and psychosocial interventions in reducing cognitive decline in older people: Systematic review","Lifestyle interventions, such as aerobic exercise and cognitive-motor challenges, can moderately improve cognitive decline in older adults.","E. Whitty, Hassan Mansour, E. Aguirre, Marina Palomo, C. Cooper",2020,69,"","systematic review","Ageing Research Reviews","1","10.1016/j.arr.2020.101113","https://consensus.app/papers/efficacy-of-lifestyle-and-psychosocial-interventions-in-whitty-mansour/46977aba05e65cf68d5dcb6cfdeca855/"
"An online multidomain lifestyle intervention to prevent cognitive decline in at-risk older adults: a randomized controlled trial","An online multidomain lifestyle intervention tailored to individual dementia risk factors significantly improved cognition in older adults over 3 years.","H. Brodaty, Tiffany Chau, Megan Heffernan, Jeewani A Ginige, Gavin Andrews, Michael Millard, Perminder S. Sachdev, K. Anstey, Nicola T. Lautenschlager, John J. McNeil, Louisa R Jorm, N. Kochan, Anthony Maeder, Heidi J Welberry, Juan Carlo San Jose, Nancy E. Briggs, Gordana Popovic, Y. Mavros, Carolina Almendrales Rangel, Y. Noble, Sue Radd-Vagenas, V. Flood, Fiona O'Leary, Amit Lampit, Courtney C. Walton, Polly Barr, Maria A Fiatarone Singh, Michael Valenzuela",2025,36,"Effective, scalable dementia prevention interventions are needed to address modifiable risk factors given global burden of dementia and challenges in developing disease-modifying treatments. A single-blind randomized controlled trial assessed an online multidomain lifestyle intervention to prevent cognitive decline over 3 years. Participants were dementia-free community-dwelling Australians aged 55-77 years with modifiable dementia risk factors. Eligible participants (n = 6,104, 64% female) were randomized 1:1 to a personalized schedule of online coaching in two to four modules (targeting physical activity, nutrition, cognitive activity and depression or anxiety) or a control group that received module-eligible information only. At 3 years, the mean change in a global cognitive composite, the primary outcome, was met. The mean changes in z scores were 0.28 (95% confidence interval (CI): 0.25-0.32) for intervention, 0.10 (95% CI: 0.07-0.13) for control and 0.18 (95% CI: 0.13-0.23, P < 0.001) for the between-group difference. Trial-related adverse events occurred in 19 (0.60%) intervention and 1 (0.03%) control participant. Randomization of this internet-delivered lifestyle intervention tailored to individual dementia risk factors resulted in significantly better cognition in older adults over 3 years. This intervention is scalable with the potential for population-level rollout that may delay cognitive decline in the general community. Australian New Zealand ClinicalTrials.gov registration: ACTRN12618000851268.","rct","Nature Medicine","1","10.1038/s41591-024-03351-6","https://consensus.app/papers/an-online-multidomain-lifestyle-intervention-to-prevent-brodaty-chau/3a6df7bb6f3954d3bdd5b53749015dd3/"
"Computerised cognitive training for 12 or more weeks for maintaining cognitive function in cognitively healthy people in late life.","Computerized cognitive training interventions lasting at least 12 weeks may show small benefits for global cognitive function in cognitively healthy adults aged 65 or older, but their long-term effects remain unclear.","N. Gates, A. Rutjes, M. Di Nisio, S. Karim, L. Chong, E. March, Gabriel Martínez, R. Vernooij",2020,81,"Increasing age is associated with a natural decline in cognitive function and is the greatest risk factor for dementia. Cognitive decline and dementia are significant threats to independence and quality of life in older adults. Therefore, identifying interventions that help to maintain cognitive function in older adults or that reduce the risk of dementia is a research priority. Cognitive training uses repeated practice on standardised exercises targeting one or more cognitive domains and may be intended to improve or maintain optimal cognitive function. This review examines the effects of computerised cognitive training interventions lasting at least 12 weeks on the cognitive function of healthy adults aged 65 or older and has formed part of a wider project about modifying lifestyle to maintain cognitive function. We chose a minimum 12 weeks duration as a trade-off between adequate exposure to a sustainable intervention and feasibility in a trial setting. To evaluate the effects of computerised cognitive training interventions lasting at least 12 weeks on cognitive function in cognitively healthy people in late life. We searched to 31 March 2018 in ALOIS (www.medicine.ox.ac.uk/alois), and we performed additional searches of MEDLINE, Embase, PsycINFO, CINAHL, ClinicalTrials.gov, and the WHO Portal/ICTRP (www.apps.who.int/trialsearch), to ensure that the search was as comprehensive and as up-to-date as possible to identify published, unpublished, and ongoing trials. We included randomised controlled trials (RCTs) and quasi-RCTs, published or unpublished, reported in any language. Participants were cognitively healthy people, and at least 80% of the study population had to be aged 65 or older. Experimental interventions adhered to the following criteria: intervention was any form of interactive computerised cognitive intervention - including computer exercises, computer games, mobile devices, gaming console, and virtual reality - that involved repeated practice on standardised exercises of specified cognitive domain(s) for the purpose of enhancing cognitive function; the duration of the intervention was at least 12 weeks; cognitive outcomes were measured; and cognitive training interventions were compared with active or inactive control interventions. We performed preliminary screening of search results using a 'crowdsourcing' method to identify RCTs. At least two review authors working independently screened the remaining citations against inclusion criteria. At least two review authors also independently extracted data and assessed the risk of bias of included RCTs. Where appropriate, we synthesised data in random-effects meta-analyses, comparing computerised cognitive training (CCT) separately with active and inactive controls. We expressed treatment effects as standardised mean differences (SMDs) with 95% confidence intervals (CIs). We used GRADE methods to describe the overall quality of the evidence for each outcome. We identified eight RCTs with a total of 1183 participants. The duration of the interventions ranged from 12 to 26 weeks; in five trials, the duration of intervention was 12 or 13 weeks. The included studies had moderate risk of bias, and the overall quality of evidence was low or very low for all outcomes. We compared CCT first against active control interventions, such as watching educational videos. Negative SMDs favour CCT over control. Trial results suggest slight improvement in global cognitive function at the end of the intervention period (12 weeks) (standardised mean difference (SMD) -0.31, 95% confidence interval (CI) -0.57 to -0.05; 232 participants; 2 studies; low-quality evidence). One of these trials also assessed global cognitive function 12 months after the end of the intervention; this trial provided no clear evidence of a persistent effect (SMD -0.21, 95% CI -0.66 to 0.24; 77 participants; 1 study; low-quality evidence). CCT may result in little or no difference at the end of the intervention period in episodic memory (12 to 17 weeks) (SMD 0.06, 95% CI -0.14 to 0.26; 439 participants; 4 studies; low-quality evidence) or working memory (12 to 16 weeks) (SMD -0.17, 95% CI -0.36 to 0.02; 392 participants; 3 studies; low-quality evidence). Because of the very low quality of the evidence, we are very uncertain about the effects of CCT on speed of processing and executive function. We also compared CCT to inactive control (no interventions). We found no data on our primary outcome of global cognitive function. At the end of the intervention, CCT may lead to slight improvement in episodic memory (6 months) (mean difference (MD) in Rivermead Behavioural Memory Test (RBMT) -0.90 points, 95% confidence interval (CI) -1.73 to -0.07; 150 participants; 1 study; low-quality evidence) but can have little or no effect on executive function (12 weeks to 6 months) (SMD -0.08, 95% CI -0.31 to 0.15; 292 participants; 2 studies; low-quality evidence), working memory (16 weeks) (MD -0.08, 95% CI -0.43 to 0.27; 60 participants; 1 study; low-quality evidence), or verbal fluency (6 months) (MD -0.11, 95% CI -1.58 to 1.36; 150 participants; 1 study; low-quality evidence). We could not determine any effects on speed of processing because the evidence was of very low quality. We found no evidence on quality of life, activities of daily living, or adverse effects in either comparison. We found low-quality evidence suggesting that immediately after completion of the intervention, small benefits of CCT may be seen for global cognitive function when compared with active controls, and for episodic memory when compared with an inactive control. These benefits are of uncertain clinical importance. We found no evidence that the effect on global cognitive function persisted 12 months later. Our confidence in the results was low, reflecting the overall quality of the evidence. In five of the eight trials, the duration of the intervention was just three months. The possibility that more extensive training could yield larger benefit remains to be more fully explored. We found substantial literature on cognitive training, and collating all available scientific information posed problems. Duration of treatment may not be the best way to categorise interventions for inclusion. As the primary interest of older people and of guideline writers and policymakers involves sustained cognitive benefit, an alternative would be to categorise by length of follow-up after selecting studies that assess longer-term effects.","systematic review","The Cochrane database of systematic reviews","1","10.1002/14651858.cd012277.pub3","https://consensus.app/papers/computerised-cognitive-training-for-12-or-more-weeks-for-gates-rutjes/dac1af0bc99750c7a9be273bdddbb070/"
"A multidomain lifestyle intervention to maintain optimal cognitive functioning in Dutch older adults—study design and baseline characteristics of the FINGER-NL randomized controlled trial","A 2-year multidomain lifestyle intervention, including physical activity, cognitive training, cardiovascular risk factor management, nutritional counseling, sleep counseling, stress management, and social activities, may help maintain cognitive functioning in older adults.","K. Deckers, M. Zwan, Lion M Soons, L. Waterink, Sonja Beers, Sofie van Houdt, Berrit Stiensma, Judy Z. Kwant, S. Wimmers, R. Heutz, Jurgen A. H. R. Claassen, J. Oosterman, R. D. de Heus, O. van de Rest, Yannick Vermeiren, R. O. Voshaar, N. Smidt, L. Broersen, S. Sikkes, E. Aarts, S. Köhler, W. M. van der Flier",2024,23,"Evidence on the effectiveness of multidomain lifestyle interventions to prevent cognitive decline in older people without dementia is mixed. Embedded in the World-Wide FINGERS initiative, FINGER-NL aims to investigate the effectiveness of a 2-year multidomain lifestyle intervention on cognitive functioning in older Dutch at risk individuals. Multi-center, randomized, controlled, multidomain lifestyle intervention trial with a duration of 24 months. 1210 adults between 60-79 years old with presence of ≥ 2 modifiable risk factors and ≥ 1 non-modifiable risk factor for cognitive decline were recruited between January 2022 and May 2023 via the Dutch Brain Research Registry and across five study sites in the Netherlands. Participants were randomized to either a high-intensity or a low-intensity intervention group. The multidomain intervention comprises a combination of 7 lifestyle components (physical activity, cognitive training, cardiovascular risk factor management, nutritional counseling, sleep counseling, stress management, and social activities) and 1 nutritional product (Souvenaid®) that could help maintain cognitive functioning. The high-intensity intervention group receives a personalized, supervised and hybrid intervention consisting of group meetings (on-site and online) and individual sessions guided by a trained lifestyle coach, and access to a digital intervention platform that provides custom-made training materials and selected lifestyle apps. The low-intensity intervention group receives bi-monthly online lifestyle-related health advice via the digital intervention platform. Primary outcome is 2-year change on a cognitive composite score covering processing speed, executive function, and memory. Within 17 months, participant recruitment has been successfully completed (N = 1210; mean age: 67.7 years (SD: 4.6); 64% female). Modifiable risk factors commonly present at baseline were physical inactivity (89%), low mental/cognitive activity (50%), low social engagement (39%), hypertension (39%) and high alcohol consumption (39%). The mean body mass index of participants was 28.3 (SD: 4.2) and the total serum cholesterol was 5.4 mmol/L (SD: 1.2). Baseline lifestyle and clinical measurements showed successful recruitment of participants with sufficient potential for prevention. Results of FINGER-NL will provide further insight into the efficacy of a multidomain lifestyle intervention to prevent cognitive decline in older adults. ClinicalTrials.gov (ID: NCT05256199)/2022-01-11.","rct","Alzheimer's Research & Therapy","1","10.1186/s13195-024-01495-8","https://consensus.app/papers/a-multidomain-lifestyle-intervention-to-maintain-optimal-deckers-zwan/e6dafbcbc7e15f1a98c42966af2100f7/"
"Optimal exercise interventions for enhancing cognitive function in older adults: a network meta-analysis","Resistance training improves global cognitive function, mind-body exercise enhances executive function, and aerobic exercise improves memory function in healthy older adults.","Han Han, Jinhao Zhang, Fan Zhang, Fanghui Li, Zhijian Wu",2025,7,"Cognitive decline poses a significant challenge to healthy aging. While exercise is widely recognized for its cognitive benefits, the comparative efficacy of different exercise modalities and optimal intervention protocols for specific cognitive domains in older adults remains unclear.This network meta-analysis aimed to systematically compare the effects of five exercise modalities-resistance training, aerobic exercise, mind-body exercise, multicomponent exercise, and high-intensity interval training (HIIT)-on global cognitive function and major cognitive domains in cognitively healthy older adults, and to identify optimal intervention protocols and population subgroups most likely to benefit.A total of 58 randomized controlled trials (RCTs) were included, encompassing 4,349 healthy older adults from diverse geographical regions. Comprehensive searches were conducted in major electronic databases for RCTs evaluating exercise interventions on cognitive outcomes in adults aged 60 years and older. A network meta-analysis assessed the relative effects of each exercise modality on global cognition, executive function (including inhibitory control, task-switching ability, and working memory), and memory function. Subgroup analyses were performed based on intervention frequency, duration, participant age, and geographic region.Resistance training demonstrated the greatest improvement in global cognitive function (SMD = 0.55) and inhibitory control (SMD = 0.31, SUCRA = 82.1%), particularly with twice-weekly sessions of 45 min over 12 weeks. Mind-body exercise was most effective for executive function, especially task-switching ability (SMD = -0.58, SUCRA = 85.1%) and working memory (SMD = 2.45), with high-frequency, moderate-duration protocols yielding optimal results. Aerobic exercise was the most effective modality for enhancing memory function (SMD = 0.42). The largest cognitive benefits were observed in participants aged 65-75 years and in studies conducted in Asia.Different exercise modalities provide domain-specific cognitive benefits in healthy older adults. Personalized exercise prescriptions-emphasizing resistance training for global cognition, mind-body exercise for executive function, and aerobic exercise for memory-should be considered in clinical and public health settings. These findings support the integration of structured exercise interventions into aging and dementia prevention strategies, with particular attention to optimal protocol design and population targeting.","meta-analysis","Frontiers in Aging Neuroscience","2","10.3389/fnagi.2025.1510773","https://consensus.app/papers/optimal-exercise-interventions-for-enhancing-cognitive-han-zhang/6e1235d0a73659b1b1c51bb39aba0721/"
