Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Neurobiological Changes Induced by Mindfulness and Meditation: A Systematic Review","Mindfulness and meditation practices, particularly Mindfulness-Based Stress Reduction (MBSR), improve emotional regulation, brain structure, reduce anxiety, and enhance stress resilience.","Andrea Calderone, Desirée Latella, Federica Impellizzeri, Paolo de Pasquale, F. Fama’, A. Quartarone, R. S. Calabrò",2024,40,"Meditation and mindfulness, rooted in ancient traditions, enhance mental well-being by cultivating awareness and emotional control. It has been shown to induce neuroplasticity, increase cortical thickness, reduce amygdala reactivity, and improve brain connectivity and neurotransmitter levels, leading to improved emotional regulation, cognitive function, and stress resilience. This systematic review will synthesize research on neurobiological changes associated with mindfulness and meditation practices.Studies were identified from an online search of PubMed, Web of Science, Cochrane Library, and Embase databases without any search time range. This review has been registered on Open OSF (n) GV2JY.Mindfulness-Based Stress Reduction (MBSR) enhances brain regions related to emotional processing and sensory perception, improves psychological outcomes like anxiety and depression, and exhibits unique mechanisms of pain reduction compared to placebo.This review highlights that mindfulness, particularly through MBSR, improves emotional regulation and brain structure, reduces anxiety, and enhances stress resilience. Future research should focus on diverse populations and naturalistic settings to better understand and optimize these benefits.","systematic review","Biomedicines","1","10.3390/biomedicines12112613","https://consensus.app/papers/neurobiological-changes-induced-by-mindfulness-and-calderone-latella/20d4b28f20e25668bb7642b2d1dccf03/"
"Therapeutic Fasting and Its Effects on Cognitive Function and Neuroplasticity","Intermittent fasting combined with plant-rich diets improves cognitive performance and neuroplasticity by enhancing hippocampal BDNF and reducing neuro-inflammation.","D.Yu. Stepanenko",2025,0,"Therapeutic fasting attracts growing interest within neuroscience because metabolic stress modulates neurotrophic signalling. The present study evaluates intermittent fasting combined with vegan nutrient patterns for their cumulative influence on memory, attention and synaptic plasticity. A systematic examination of experimental rodents, controlled human trials and molecular investigations conducted. Brain-derived neurotrophic factor (BDNF), AMP-activated kinase and sirtuin pathways were selected as mechanistic markers. Evidence synthesis indicates that alternate-day energy restriction up-regulates hippocampal BDNF, while polyphenols and omega-3 precursors supplied by plant diets reinforce this response. Clearance of misfolded proteins, attenuation of neuro-inflammation and stabilisation of neuronal membranes surfaced as convergent mechanisms. Comparative evaluation suggests superior cognitive performance when fasting protocols coincide with plant-rich menus compared with either intervention alone. The analysis highlights translational gaps, particularly long-term human data, and formulates directions for personalised nutritional neuromodulation. Potential safety considerations related to hypoglycaemia and micronutrient sufficiency are critically appraised within cohorts. The article will be useful for clinical nutritionists, neuroscientists, geriatric practitioners and policymakers.","systematic review","The American Journal of Applied Sciences","","10.37547/tajas/volume07issue06-06","https://consensus.app/papers/therapeutic-fasting-and-its-effects-on-cognitive-function-stepanenko/8a8345ac2e665ca1a779dff4847de27a/"
"Mindfulness-Based Cognitive Therapy in Clinical Practice: A Systematic Review of Neurocognitive Outcomes and Applications for Mental Health and Well-Being","Mindfulness-based cognitive therapy (MBCT) effectively reduces symptoms of depression, anxiety, and stress, and enhances cognitive functions and emotional regulation across diverse populations.","E. Gkintoni, S. Vassilopoulos, Georgios Nikolaou",2025,26,": This systematic review outlines the neurocognitive outcomes and mechanisms of mindfulness-based cognitive therapy (MBCT) that influence subjective well-being. MBCT is a clinical intervention that integrates cognitive therapy with mindfulness practices to prevent depression relapses and improve mental health.: The review focuses on the effects of MBCT on brain structure changes, cognitive processes, and emotional regulation, which are related to improvements in subjective well-being. A total of 87 studies were included in the review to assess the effectiveness of MBCT.: Evidence from the studies highlights the effectiveness of MBCT in reducing symptoms of depression, anxiety, and stress. MBCT was also shown to enhance cognitive functions and emotional regulation across diverse populations. These findings point to the potential for MBCT to induce neuroplastic changes in the brain and widen the applicability of the treatment for a variety of disorders, calling for further research into long-term benefits and underlying neurobiological mechanisms.: The review emphasizes the potential of MBCT to bring about neuroplastic changes, calling for further research into its long-term benefits and the underlying neurobiological mechanisms. This study underlines the need to incorporate multidisciplinary measures by integrating psychology and neuroscience to comprehend comprehensively the effects of MBCT.","systematic review","Journal of Clinical Medicine","1","10.3390/jcm14051703","https://consensus.app/papers/mindfulnessbased-cognitive-therapy-in-clinical-practice-gkintoni-vassilopoulos/df00bd4543ad546194f1e033e24ff82a/"
"Neurocognitive-Spiritual Based Psychopedagogy in Improving Working Memory and Emotional Intelligence in Muslim Students","Integrating neurocognitive strategies with spiritual practices improves working memory and emotional intelligence in Muslim students, fostering synergistic brain changes and lifelong cognitive-emotional growth.","Muhammad Hisyam Syafii, Rudyn Alaldaya, Halim Purnomo, Husain Azhari",2025,4,"The current study addresses the limitations of contemporary educational frameworks that often compartmentalize cognitive, emotional, and spiritual domains, thereby hindering holistic student development. This study employed a qualitative methodology using a systematic literature review approach. Data were sourced from scholarly articles, neuroscience textbooks, and educational policy documents published between 2020–2025. Document analysis matrices and content analysis protocols were utilized to extract and synthesize conceptual frameworks. The validity of findings was ensured through triangulation, peer reviews, reflexive journaling, and audit trails, implemented across six systematic research stages. Findings reveal that integrating neurocognitive strategies with spiritual practices fosters synergistic brain changes. These include neuroplastic modifications in the prefrontal cortex and limbic system, improving executive functions and emotion regulation. Integrating transcendental meaning-making and attentional control significantly boosts information processing and emotional resilience in learning environments. The implications of this research extend to educational policy, curriculum design, and teacher training, offering a scientific and spiritual synthesis that enriches both pedagogical theory and practice. This model proposes a developmental framework for implementing tailored interventions from early childhood through adulthood, supporting lifelong cognitive-emotional growth grounded in spiritual values.","systematic review","Journal of Islamic Education and Ethics","","10.18196/jiee.v3i2.86","https://consensus.app/papers/neurocognitivespiritual-based-psychopedagogy-in-syafii-alaldaya/5adf17c709395e18a2fed1a3b6b33d03/"
"Brain-Inspired Multisensory Learning: A Systematic Review of Neuroplasticity and Cognitive Outcomes in Adult Multicultural and Second Language Acquisition","Adult multicultural and second-language acquisition promotes neuroplastic adaptations, leading to improved working memory, attention, and cognitive flexibility in adults.","E. Gkintoni, S. Vassilopoulos, Georgios Nikolaou",2025,9,"Multicultural education and second-language acquisition engaged neural networks, supporting executive function, memory, and social cognition in adulthood, represent powerful forms of brain-inspired multisensory learning. The neuroeducational framework integrates neuroscience with pedagogical practice to understand how linguistically and culturally rich environments drive neuroplasticity and cognitive adaptation in adult learners. This systematic review synthesizes findings from 80 studies examining neuroplasticity and cognitive outcomes in adults undergoing multicultural and second-language acquisition, focusing on underlying neural mechanisms and educational effectiveness. The analysis included randomized controlled trials and longitudinal studies employing diverse neuroimaging techniques (fMRI, MEG, DTI) to assess structural and functional brain network changes. Interventions varied in terms of immersion intensity (ranging from limited classroom contact to complete environmental immersion), multimodal approaches (integrating visual, auditory, and kinesthetic elements), feedback mechanisms (immediate vs. delayed, social vs. automated), and learning contexts (formal instruction, naturalistic acquisition, and technology-enhanced environments). Outcomes encompassed cognitive domains (executive function, working memory, attention) and socio-emotional processes (empathy, cultural adaptation). Strong evidence demonstrates that multicultural and second-language acquisition induce specific neuroplastic adaptations, including enhanced connectivity between language and executive networks, increased cortical thickness in frontal-temporal regions, and white matter reorganization supporting processing efficiency. These neural changes are correlated with significant improvements in working memory, attentional control, and cognitive flexibility. Immersion intensity, multimodal design features, learning context, and individual differences, including age and sociocultural background, moderate the effectiveness of interventions across adult populations. Adult multicultural and second-language acquisition represents a biologically aligned educational approach that leverages natural neuroplastic mechanisms to enhance cognitive resilience. Findings support the design of interventions that engage integrated neural networks through rich, culturally relevant environments, with significant implications for cognitive health across the adult lifespan and for evidence-based educational practice.","systematic review","Biomimetics","2","10.3390/biomimetics10060397","https://consensus.app/papers/braininspired-multisensory-learning-a-systematic-review-gkintoni-vassilopoulos/1b151cc225d351238188ebfb3a0e0267/"
"Effects of digital interventions on neuroplasticity and brain function of individuals with developmental disabilities: A systematic review","Digital interventions may enhance neuroplasticity and brain function in individuals with developmental disabilities, potentially improving attention, emotional recognition, and social skills.","Hyunyoung Lee, Yoomi Shin, Hayoung Moon, Yuna Choi, Anna Lee",2025,0,"","systematic review","Internet Interventions","1","10.1016/j.invent.2025.100850","https://consensus.app/papers/effects-of-digital-interventions-on-neuroplasticity-and-lee-shin/5dc377deca3659dc9e4bdace46246e09/"
"Investigating the Neuroprotective and Cognitive-Enhancing Effects of Bacopa monnieri: A Systematic Review Focused on Inflammation, Oxidative Stress, Mitochondrial Dysfunction, and Apoptosis","Bacopa monnieri has neuroprotective and cognitive-enhancing effects, reducing inflammation and oxidative stress, and can serve as a complementary approach for patients with neurodegenerative conditions.","Luiz José Valotto Neto, Matheus Reverete de Araujo, Renato Cesar Moretti Junior, Nathalia Mendes Machado, Rakesh Kumar Joshi, Daiene dos Santos Buglio, Caroline Barbalho Lamas, R. Direito, Lucas Fornari Laurindo, Masaru Tanaka, S. Barbalho",2024,78,"The aging of the global population has increased the prevalence of neurodegenerative conditions.(BM), an herb with active compounds, such as bacosides A and B, betulinic acid, loliolide, asiatic acid, and quercetin, demonstrates the potential for brain health. Limited research has been conducted on the therapeutic applications of BM in neurodegenerative conditions. This systematic review aims to project BM's beneficial role in brain disorders. BM has anti-apoptotic and antioxidant actions and can repair damaged neurons, stimulate kinase activity, restore synaptic function, improve nerve transmission, and increase neuroprotection. The included twenty-two clinical trials demonstrated that BM can reduce Nuclear Factor-κB phosphorylation, improve emotional function, cognitive functions, anhedonia, hyperactivity, sleep routine, depression, attention deficit, learning problems, memory retention, impulsivity, and psychiatric problems. Moreover, BM can reduce the levels of pro-inflammatory biomarkers and oxidative stress. Here, we highlight that BM provides notable therapeutic benefits and can serve as a complementary approach for the care of patients with neurodegenerative conditions associated with brain disorders. This review adds to the growing interest in natural products and their potential therapeutic applications by improving our understanding of the mechanisms underlying cognitive function and neurodegeneration and informing the development of new therapeutic strategies for neurodegenerative diseases.","systematic review","Antioxidants","1","10.3390/antiox13040393","https://consensus.app/papers/investigating-the-neuroprotective-and-neto-araujo/48ba3fb4c22c5f6fb2d0330b5b917e10/"
"Acute and long-term effects of adolescence stress exposure on rodent adult hippocampal neurogenesis, cognition, and behaviour","Adolescent stress exposure in mice leads to reduced hippocampal neurogenesis, cognitive impairments, and depressive-like behaviors, with potential long-term effects.","A. Borsini, J. Giacobbe, G. Mandal, M. Boldrini",2023,36,"Adolescence represents a critical period for brain and behavioural health and characterised by the onset of mood, psychotic and anxiety disorders. In rodents, neurogenesis is very active during adolescence, when is particularly vulnerable to stress. Whether stress-related neurogenesis changes influence adolescence onset of psychiatric symptoms remains largely unknown. A systematic review was conducted on studies investigating changes in hippocampal neurogenesis and neuroplasticity, hippocampal-dependent cognitive functions, and behaviour, occurring after adolescence stress exposure in mice both acutely (at post-natal days 21-65) and in adulthood. A total of 37 studies were identified in the literature. Seven studies showed reduced hippocampal cell proliferation, and out of those two reported increased depressive-like behaviours, in adolescent rodents exposed to stress. Three studies reported a reduction in the number of new-born neurons, which however were not associated with changes in cognition or behaviour. Sixteen studies showed acutely reduced hippocampal neuroplasticity, including pre- and post-synaptic plasticity markers, dendritic spine length and density, and long-term potentiation after stress exposure. Cognitive impairments and depressive-like behaviours were reported by 11 of the 16 studies. Among studies who looked at adolescence stress exposure effects into adulthood, seven showed that the negative effects of stress observed during adolescence on either cell proliferation or hippocampal neuroplasticity, cognitive deficits and depressive-like behaviour, had variable impact in adulthood. Treating adolescent mice with antidepressants, glutamate receptor inhibitors, glucocorticoid antagonists, or healthy diet enriched in omega-3 fatty acids and vitamin A, prevented or reversed those detrimental changes. Future research should investigate the translational value of these preclinical findings. Developing novel tools for measuring hippocampal neurogenesis in live humans, would allow assessing neurogenic changes following stress exposure, investigating relationships with psychiatric symptom onset, and identifying effects of therapeutic interventions.","systematic review","Molecular Psychiatry","1","10.1038/s41380-023-02229-2","https://consensus.app/papers/acute-and-longterm-effects-of-adolescence-stress-exposure-borsini-giacobbe/b1878ac4094158ca93e82e24f5f02797/"
"Brain Neuroplasticity Leveraging Virtual Reality and Brain–Computer Interface Technologies","Virtual reality and brain-computer interfaces can promote neuroplasticity and cognitive enhancement in rehabilitation therapies, treatment of phobias and anxiety disorders, and cognitive enhancement.","Athanasios Drigas, Angeliki Sideraki",2024,56,"This study explores neuroplasticity through the use of virtual reality (VR) and brain-computer interfaces (BCIs). Neuroplasticity is the brain's ability to reorganize itself by forming new neural connections in response to learning, experience, and injury. VR offers a controlled environment to manipulate sensory inputs, while BCIs facilitate real-time monitoring and modulation of neural activity. By combining VR and BCI, researchers can stimulate specific brain regions, trigger neurochemical changes, and influence cognitive functions such as memory, perception, and motor skills. Key findings indicate that VR and BCI interventions are promising for rehabilitation therapies, treatment of phobias and anxiety disorders, and cognitive enhancement. Personalized VR experiences, adapted based on BCI feedback, enhance the efficacy of these interventions. This study underscores the potential for integrating VR and BCI technologies to understand and harness neuroplasticity for cognitive and therapeutic applications. The researchers utilized the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) method to conduct a comprehensive and systematic review of the existing literature on neuroplasticity, VR, and BCI. This involved identifying relevant studies through database searches, screening for eligibility, and assessing the quality of the included studies. Data extraction focused on the effects of VR and BCI on neuroplasticity and cognitive functions. The PRISMA method ensured a rigorous and transparent approach to synthesizing evidence, allowing the researchers to draw robust conclusions about the potential of VR and BCI technologies in promoting neuroplasticity and cognitive enhancement.","systematic review","Sensors (Basel, Switzerland)","1","10.3390/s24175725","https://consensus.app/papers/brain-neuroplasticity-leveraging-virtual-reality-and-drigas-sideraki/de0942ecdced5aa2b9bc6d3579eaad1a/"
"Neuroactive Phytochemicals as Multi-Target Modulators of Mental Health and Cognitive Function: An Integrative Review","Neurophytochemicals show potential in supporting mental well-being and cognitive function by enhancing neurogenesis, modulating neurotransmitter systems, and attenuating oxidative stress and neuroinflammation.","H. Tkaczenko, L. Buyun, R. Kołodziejska, Piotr Kamiński, N. Kurhaluk",2025,7,"The growing prevalence of mental health issues and cognitive impairment poses a significant challenge to global public health. Conditions such as depression, anxiety, neurodegenerative diseases, and stress-related cognitive dysfunction are becoming more common, while conventional pharmacotherapies are often limited by suboptimal efficacy, adverse side effects, and concerns about long-term use. Against this backdrop, neurophytochemistry-the study of plant-derived bioactive compounds-has emerged as a promising area of research. This review explores the potential of selected phytochemicals to support mental well-being and cognitive function via various molecular mechanisms. Compounds such as apigenin, hesperidin, and epigallocatechin gallate have been shown to have a significant impact on key regulatory pathways. These include enhancing neurogenesis via brain-derived neurotrophic factor, modulating neurotransmitter systems (such as GABA and serotonin), and attenuating oxidative stress and neuroinflammation. The therapeutic relevance of these compounds is discussed in the context of depression, anxiety, Alzheimer's disease, Parkinson's disease, and stress-related cognitive dysfunction, often referred to as 'brain fog'. This review synthesizes evidence published between 2010 and 2025 from several scientific databases, including PubMed, Scopus, Web of Science, and Embase. Preliminary evidence from in vitro studies and animal models indicates that neurophytochemicals could enhance synaptic plasticity, protect neurons from oxidative damage, and modulate inflammatory pathways, particularly those involving NF-κB and the Nrf2/ARE antioxidant response. In addition, early human clinical trials have shown that phytochemical supplementation can lead to improvements in mood regulation, stress response, and cognitive performance. Furthermore, emerging evidence suggests that the gut-brain axis plays a key role in mediating the effects of phytochemicals. Several compounds have been found to modulate the composition of gut microbiota in ways that could enhance the function of the central nervous system. While the initial results are encouraging, more high-quality clinical trials and mechanistic studies are required to validate these findings, optimize dosage regimens, and guarantee the safety and efficacy of long-term use. Thus, neurophytochemicals represent a promising integrative approach to alleviating the increasing burden of mental and cognitive disorders through naturally derived therapeutic strategies.","systematic review","International Journal of Molecular Sciences","1","10.3390/ijms26188907","https://consensus.app/papers/neuroactive-phytochemicals-as-multitarget-modulators-of-tkaczenko-buyun/6f01ebac36865519bb825ba624eb7899/"
