Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"A meta‐review of “lifestyle psychiatry”: the role of exercise, smoking, diet and sleep in the prevention and treatment of mental disorders","Physical activity, tobacco smoking, diet, and poor sleep are key lifestyle factors in preventing and treating mental disorders.","J. Firth, M. Solmi, R. Wootton, D. Vancampfort, F. Schuch, E. Hoare, S. Gilbody, J. Torous, S. Teasdale, S. Jackson, Lee Smith, Melissa Eaton, F. Jacka, N. Veronese, W. Marx, Garcia Ashdown-Franks, D. Siskind, J. Sarris, S. Rosenbaum, A. Carvalho, B. Stubbs",2020,753,"There is increasing academic and clinical interest in how ""lifestyle factors"" traditionally associated with physical health may also relate to mental health and psychological well-being. In response, international and national health bodies are producing guidelines to address health behaviors in the prevention and treatment of mental illness. However, the current evidence for the causal role of lifestyle factors in the onset and prognosis of mental disorders is unclear. We performed a systematic meta-review of the top-tier evidence examining how physical activity, sleep, dietary patterns and tobacco smoking impact on the risk and treatment outcomes across a range of mental disorders. Results from 29 meta-analyses of prospective/cohort studies, 12 Mendelian randomization studies, two meta-reviews, and two meta-analyses of randomized controlled trials were synthesized to generate overviews of the evidence for targeting each of the specific lifestyle factors in the prevention and treatment of depression, anxiety and stress-related disorders, schizophrenia, bipolar disorder, and attention-deficit/hyperactivity disorder. Standout findings include: a) convergent evidence indicating the use of physical activity in primary prevention and clinical treatment across a spectrum of mental disorders; b) emerging evidence implicating tobacco smoking as a causal factor in onset of both common and severe mental illness; c) the need to clearly establish causal relations between dietary patterns and risk of mental illness, and how diet should be best addressed within mental health care; and d) poor sleep as a risk factor for mental illness, although with further research required to understand the complex, bidirectional relations and the benefits of non-pharmacological sleep-focused interventions. The potentially shared neurobiological pathways between multiple lifestyle factors and mental health are discussed, along with directions for future research, and recommendations for the implementation of these findings at public health and clinical service levels.","meta-analysis","World Psychiatry","1","10.1002/wps.20773","https://consensus.app/papers/a-meta%E2%80%90review-of-%E2%80%9C-lifestyle-psychiatry-%E2%80%9D-the-role-of-firth-solmi/d7d4d0e4c0155d7e89df81331471fac6/"
"Can Lifestyle Medicine Improve Global Mental Health?","Lifestyle interventions can improve global mental health by addressing various illness modalities and supporting climate health.","Steve Sugden, Gia Merlo, Sam Manger",2024,3,"<jats:p xml:lang=""en"">Rationale: The global impact of mental health, specifically depression, is expected to be a top concern by 2030. Despite the growing number of medications and interventions, access to resources for well-being, psychiatric medications, and psychotherapy continues to be a long-standing barrier, regardless of a person’s socioeconomic position or wealth of their country. Objectives: This article will review the relevance of the lifestyle psychiatry pillars for treating depression and will also include a review of their impact on climate health. Methods: A systematic review was undertaken using predefined search criteria on PubMed and Google Scholar. Results: There is a bidirectionality between mental health and physical illness as individuals with poor mental health have higher comorbid medical conditions and vice versa, which further supports a common theory to chronic illness (both physical and mental). Lifestyle interventions show increased efficacy in the treatment of chronic illness, and the same interventions positively support climate health. Conclusions: The benefits of lifestyle interventions are often overlooked, but they are scientifically significant, well-tolerated by patients, and can address modalities of illness. Lifestyle psychiatry can become an integral tool for global mental health providers.</jats:p>","systematic review","Academia Mental Health and Well-Being","","10.20935/mhealthwellb6224","https://consensus.app/papers/can-lifestyle-medicine-improve-global-mental-health-sugden-merlo/01991474c1ee581b8c69038788d6a691/"
"Interventions to Improve Mental Health, Well-Being, Physical Health, and Lifestyle Behaviors in Physicians and Nurses: A Systematic Review","Mindfulness and cognitive-behavioral therapy-based interventions effectively reduce stress, anxiety, and depression in physicians and nurses, while deep breathing and gratitude may be beneficial.","B. Melnyk, Stephanie A. Kelly, Janna D Stephens, K. Dhakal, Colleen M. McGovern, S. Tucker, Jacqueline Hoying, K. McRae, S. Ault, Elizabeth J. Spurlock, S. Bird",2020,268,"This systematic review focused on randomized controlled trials (RCTs) with physicians and nurses that tested interventions designed to improve their mental health, well-being, physical health, and lifestyle behaviors. A systematic search of electronic databases from 2008 to May 2018 included PubMed, CINAHL, PsycINFO, SPORTDiscus, and the Cochrane Library. Inclusion criteria included an RCT design, samples of physicians and/or nurses, and publication year 2008 or later with outcomes targeting mental health, well-being/resiliency, healthy lifestyle behaviors, and/or physical health. Exclusion criteria included studies with a focus on burnout without measures of mood, resiliency, mindfulness, or stress; primary focus on an area other than health promotion; and non-English papers. Quantitative and qualitative data were extracted from each study by 2 independent researchers using a standardized template created in Covidence. Although meta-analytic pooling across all studies was desired, a wide array of outcome measures made quantitative pooling unsuitable. Therefore, effect sizes were calculated and a mini meta-analysis was completed. Twenty-nine studies (N = 2708 participants) met the inclusion criteria. Results indicated that mindfulness and cognitive-behavioral therapy-based interventions are effective in reducing stress, anxiety, and depression. Brief interventions that incorporate deep breathing and gratitude may be beneficial. Visual triggers, pedometers, and health coaching with texting increased physical activity. Healthcare systems must promote the health and well-being of physicians and nurses with evidence-based interventions to improve population health and enhance the quality and safety of the care that is delivered.","systematic review","American Journal of Health Promotion","1","10.1177/0890117120920451","https://consensus.app/papers/interventions-to-improve-mental-health-wellbeing-melnyk-kelly/7739136ffec25b7db627c362f0939f61/"
"Comparative efficacy of 11 non-pharmacological interventions on depression, anxiety, quality of life, and caregiver burden for informal caregivers of people with dementia: A systematic review and network meta-analysis.","Non-pharmacological interventions like psychoeducation and support groups can effectively reduce depression, anxiety, and caregiver burden for informal caregivers of people with dementia.","Y. Sun, M. Ji, M. Leng, Xin-Ru Li, Xueer Zhang, Zhiwen Wang",2022,123,"","meta-analysis","International journal of nursing studies","1","10.1016/j.ijnurstu.2022.104204","https://consensus.app/papers/comparative-efficacy-of-11-nonpharmacological-sun-ji/52d54a7b52e85fdc914e74a9fbb8d07d/"
"Age at onset of mental disorders worldwide: large-scale meta-analysis of 192 epidemiological studies","Mental disorders tend to peak at 14.5 years, with a peak age of 14.6, and peak age of 14.5, across 11 diagnostic blocks.","Marco Solmi, J. Raduà, M. Olivola, E. Croce, L. Soardo, G. Salazar de Pablo, Jae Il Shin, J. Kirkbride, Peter B. Jones, Jae Han Kim, Jong Yeob Kim, A. Carvalho, M. Seeman, C. Correll, P. Fusar-Poli",2021,2500,"Promotion of good mental health, prevention, and early intervention before/at the onset of mental disorders improve outcomes. However, the range and peak ages at onset for mental disorders are not fully established. To provide robust, global epidemiological estimates of age at onset for mental disorders, we conducted a PRISMA/MOOSE-compliant systematic review with meta-analysis of birth cohort/cross-sectional/cohort studies, representative of the general population, reporting age at onset for any ICD/DSM-mental disorders, identified in PubMed/Web of Science (up to 16/05/2020) (PROSPERO:CRD42019143015). Co-primary outcomes were the proportion of individuals with onset of mental disorders before age 14, 18, 25, and peak age at onset, for any mental disorder and across International Classification of Diseases 11 diagnostic blocks. Median age at onset of specific disorders was additionally investigated. Across 192 studies (n = 708,561) included, the proportion of individuals with onset of any mental disorders before the ages of 14, 18, 25 were 34.6%, 48.4%, 62.5%, and peak age was 14.5 years (k = 14, median = 18, interquartile range (IQR) = 11-34). For diagnostic blocks, the proportion of individuals with onset of disorder before the age of 14, 18, 25 and peak age were as follows: neurodevelopmental disorders: 61.5%, 83.2%, 95.8%, 5.5 years (k = 21, median=12, IQR = 7-16), anxiety/fear-related disorders: 38.1%, 51.8%, 73.3%, 5.5 years (k = 73, median = 17, IQR = 9-25), obsessive-compulsive/related disorders: 24.6%, 45.1%, 64.0%, 14.5 years (k = 20, median = 19, IQR = 14-29), feeding/eating disorders/problems: 15.8%, 48.1%, 82.4%, 15.5 years (k = 11, median = 18, IQR = 15-23), conditions specifically associated with stress disorders: 16.9%, 27.6%, 43.1%, 15.5 years (k = 16, median = 30, IQR = 17-48), substance use disorders/addictive behaviours: 2.9%, 15.2%, 48.8%, 19.5 years (k = 58, median = 25, IQR = 20-41), schizophrenia-spectrum disorders/primary psychotic states: 3%, 12.3%, 47.8%, 20.5 years (k = 36, median = 25, IQR = 20-34), personality disorders/related traits: 1.9%, 9.6%, 47.7%, 20.5 years (k = 6, median = 25, IQR = 20-33), and mood disorders: 2.5%, 11.5%, 34.5%, 20.5 years (k = 79, median = 31, IQR = 21-46). No significant difference emerged by sex, or definition of age of onset. Median age at onset for specific mental disorders mapped on a time continuum, from phobias/separation anxiety/autism spectrum disorder/attention deficit hyperactivity disorder/social anxiety (8-13 years) to anorexia nervosa/bulimia nervosa/obsessive-compulsive/binge eating/cannabis use disorders (17-22 years), followed by schizophrenia, personality, panic and alcohol use disorders (25-27 years), and finally post-traumatic/depressive/generalized anxiety/bipolar/acute and transient psychotic disorders (30-35 years), with overlap among groups and no significant clustering. These results inform the timing of good mental health promotion/preventive/early intervention, updating the current mental health system structured around a child/adult service schism at age 18.","meta-analysis","Molecular Psychiatry","1","10.1038/s41380-021-01161-7","https://consensus.app/papers/age-at-onset-of-mental-disorders-worldwide-largescale-solmi-radu%C3%A0/89ac94e7b5515eab853d07d7467e21c9/"
"Workplace interventions to improve well-being and reduce burnout for nurses, physicians and allied healthcare professionals: a systematic review","Workplace interventions, such as mindfulness, meditation, yoga, and acupuncture, significantly improve well-being, engagement, and resilience in healthcare workers, reducing burnout and perceived stress.","Catherine Cohen, Silvia Pignata, E. Bezak, Mark Tie, J. Childs",2023,282,"There is a growing need for interventions to improve well-being in healthcare workers, particularly since the onset of COVID-19. To synthesise evidence since 2015 on the impact of interventions designed to address well-being and burnout in physicians, nurses and allied healthcare professionals. Systematic literature review. Medline, Embase, Emcare, CINAHL, PsycInfo and Google Scholar were searched in May-October 2022. Studies that primarily investigated burnout and/or well-being and reported quantifiable preintervention and postintervention outcomes using validated well-being measures were included. Full-text articles in English were independently screened and quality assessed by two researchers using the Medical Education Research Study Quality Instrument. Results were synthesised and presented in both quantitative and narrative formats. Meta-analysis was not possible due to variations in study designs and outcomes. A total of 1663 articles were screened for eligibility, with 33 meeting inclusion criterium. Thirty studies used individually focused interventions, while three were organisationally focused. Thirty-one studies used secondary level interventions (managed stress in individuals) and two were primary level (eliminated stress causes). Mindfulness-based practices were adopted in 20 studies; the remainder used meditation, yoga and acupuncture. Other interventions promoted a positive mindset (gratitude journaling, choirs, coaching) while organisational interventions centred on workload reduction, job crafting and peer networks. Effective outcomes were reported in 29 studies, with significant improvements in well-being, work engagement, quality of life and resilience, and reductions in burnout, perceived stress, anxiety and depression. The review found that interventions benefitted healthcare workers by increasing well-being, engagement and resilience, and reducing burnout. It is noted that the outcomes of numerous studies were impacted by design limitations that is, no control/waitlist control, and/or no post intervention follow-up. Suggestions are made for future research.","systematic review","BMJ Open","1","10.1136/bmjopen-2022-071203","https://consensus.app/papers/workplace-interventions-to-improve-wellbeing-and-reduce-cohen-pignata/9a8b31d7f590582d8a26618d8a0f9ff3/"
"Clinical guidelines for the use of lifestyle-based mental health care in major depressive disorder: World Federation of Societies for Biological Psychiatry (WFSBP) and Australasian Society of Lifestyle Medicine (ASLM) taskforce","Lifestyle-based interventions, such as physical activity, relaxation techniques, work-directed interventions, sleep, and mindfulness-based therapies, show the highest potential for improving Major Depressive Disorder in adults.","W. Marx, Sam Manger, Mark Blencowe, G. Murray, F. Ho, S. Lawn, J. Blumenthal, F. Schuch, B. Stubbs, A. Ruusunen, Hanna Demelash Desyibelew, T. Dinan, F. Jacka, A. Ravindran, M. Berk, A. O’Neil",2022,108,"The primary objectives of these international guidelines were to provide a global audience of clinicians with (a) a series of evidence-based recommendations for the provision of lifestyle-based mental health care in clinical practice for adults with Major Depressive Disorder (MDD) and (b) a series of implementation considerations that may be applicable across a range of settings. Recommendations and associated evidence-based gradings were based on a series of systematic literature searches of published research as well as the clinical expertise of taskforce members. The focus of the guidelines was eight lifestyle domains: physical activity and exercise, smoking cessation, work-directed interventions, mindfulness-based and stress management therapies, diet, sleep, loneliness and social support, and green space interaction. The following electronic bibliographic databases were searched for articles published prior to June 2020: PubMed, EMBASE, The Cochrane Library (Cochrane Database of Systematic Reviews, Cochrane Central Register of Controlled Trials (CENTRAL), Cochrane Methodology Register), CINAHL, PsycINFO. Evidence grading was based on the level of evidence specific to MDD and risk of bias, in accordance with the World Federation of Societies for Biological Psychiatry criteria. Nine recommendations were formed. The recommendations with the highest ratings to improve MDD were the use of physical activity and exercise, relaxation techniques, work-directed interventions, sleep, and mindfulness-based therapies (Grade 2). Interventions related to diet and green space were recommended, but with a lower strength of evidence (Grade 3). Recommendations regarding smoking cessation and loneliness and social support were based on expert opinion. Key implementation considerations included the need for input from allied health professionals and support networks to implement this type of approach, the importance of partnering such recommendations with behaviour change support, and the need to deliver interventions using a biopsychosocial-cultural framework. Lifestyle-based interventions are recommended as a foundational component of mental health care in clinical practice for adults with Major Depressive Disorder, where other evidence-based therapies can be added or used in combination. The findings and recommendations of these guidelines support the need for further research to address existing gaps in efficacy and implementation research, especially for emerging lifestyle-based approaches (e.g. green space, loneliness and social support interventions) where data are limited. Further work is also needed to develop innovative approaches for delivery and models of care, and to support the training of health professionals regarding lifestyle-based mental health care.","systematic review","The World Journal of Biological Psychiatry","1","10.1080/15622975.2022.2112074","https://consensus.app/papers/clinical-guidelines-for-the-use-of-lifestylebased-mental-marx-manger/b241e6e5894356baa5d116a06cf4cd1a/"
"Mental health and unemployment: A systematic review and meta-analysis of interventions to improve depression and anxiety outcomes.","Both prevention and treatment interventions can improve mental health during unemployment, with Cognitive Therapy/CBT and work-related interventions showing the most robust evidence base.","Andrew F A Arena, Sophia Mobbs, Samineh Sanatkar, Domonique Williams, D. Collins, M. Harris, S. Harvey, M. Deady",2023,61,"","meta-analysis","Journal of affective disorders","1","10.1016/j.jad.2023.05.027","https://consensus.app/papers/mental-health-and-unemployment-a-systematic-review-and-arena-mobbs/2eb285e4699a565b99625f0b33e54357/"
"Mapping intervention strategies and mental health support journeys in addressing mental health challenges among healthcare professionals – a scoping review","Mental health interventions, including physical activity, resilience-building, psychoeducation, and tailored digital tools, effectively improve the mental health of healthcare workers.","S. Mahanjana, L. A. Pitso, Mhlengi Vella Ncube",2025,3,"Mental health conditions can cause severe morbidity and mortality, especially if left untreated. The prevalence of mental illness among healthcare workers (HCWs) is growing and concerning. Compared with the general population, HCWs are at greater risk of developing mental illnesses such as depression and anxiety. Healthcare systems need to promote the mental health and well-being of HCWs using evidence-based interventions. This scoping review aimed to synthesise evidence that describes strategies and interventions that promote mental health and prevent mental illness among HCWs. An electronic search of Google Scholar, CINAHL Ultimate, Dentistry & Oral Sciences Source, and MEDLINE Ultimate databases was conducted. The search targeted peer-reviewed academic literature reporting on primary data from January 2020 to June 2023. Studies that reported on mental health interventions for clinical healthcare workers and the outcomes of the interventions were included. Eleven studies met the inclusion criteria. The majority (78.8%) of mental health interventions were designed for nurses, with medical doctors and allied health professionals representing only 4.1% and 9.5% of the healthcare worker population in the studies respectively. The interventions described in the studies varied and included psychoeducation and education, psychotherapy, physical activity, resilience interventions, well-being centres, and a video intervention. All the interventions followed a similar implementation process, which is described in a mental health support journey map. The map included the following activities: enrolment, information session, accessing educational resources, mental health intervention, accessing human resources, and group support. The studies reported on thirty different outcome measures, with the most common being overall mental well-being, anxiety, insomnia/sleep quality, depression/depressive symptoms, and psychological distress. Mental health interventions for HCWs enhance overall well-being. Physical activity, resilience-building, psychoeducation, and tailored digital tools are effective intervention strategies to improve the mental health of healthcare workers. Resource allocation towards these mental health intervention strategies for healthcare workers needs to be included in the operational budgets of healthcare establishments. Further studies may be required to customise some of the interventions for low- and middle-income countries.","systematic review","BMC Psychology","1","10.1186/s40359-025-02981-w","https://consensus.app/papers/mapping-intervention-strategies-and-mental-health-mahanjana-pitso/9f8279c9c931593284774100c665b0a5/"
"Effectiveness of combining psychological prevention interventions with interventions that address the social determinants of mental health in low- and middle-income countries: a systematic review and meta-analysis","Combined psychological prevention interventions and social determinants of mental health interventions are effective in reducing the incidence of depression and post-traumatic stress disorders in low- and middle-income countries.","E. Prina, B. Bano, Rakesh Singh, E. Albanese, Daniela Trujillo, Maria Cecilia Dedios Sanguineti, K. Sorsdahl, N. Luitel, E. Garman, M. Purgato, Corrado Barbui, M. Jordans, Crick Lund",2025,4,"Task-shared preventive psychological interventions combined with interventions addressing social determinants of mental health may prevent common mental health conditions (CMHCs), particularly in low- and middle-income countries (LMICs). However, an evidence synthesis of their combination has not yet been investigated. We aimed to systematically assess the effectiveness of these combined interventions in LMICs. We searched Epistemonikos, CENTRAL, MEDLINE, Embase, PsycINFO, CINAHL, GIM, ClinicalTrials.gov and WHO ICTRP until 2 September 2024. Two reviewers independently abstracted the data and evaluated the risk of bias of included studies using the Cochrane Risk of Bias 2 tool. We performed random-effects meta-analyses to assess the primary outcome, which was the incidence of CMHCs, and rated the certainty of evidence using the Grading of Recommendations Assessment, Development, and Evaluation approach. The protocol was registered in PROSPERO (CRD42023451072). Of the 21 780 records identified from electronic sources, we included 31 randomised controlled trials from 21 LMICs involving 35 885 participants. Combined interventions were effective in reducing the incidence of depression and post-traumatic stress disorders at postintervention compared with control conditions for adults (risk ratio (RR) 0.82, 95% CI 0.73 to 0.93) and children (RR 0.70, 95% CI 0.49 to 0.99). At 7-24 months, we only found beneficial effects of combined interventions for depressive symptoms in children (standardised mean difference -0.41, 95% CI -0.63 to -0.18). No data were available on the incidence of anxiety. Combined task-shared interventions are effective in mostly short-term prevention of CMHCs in LMICs. Combining strategies targeting social determinants with psychological prevention approaches offers a potential opportunity to reduce the global mental health burden. Future research should focus on key intervention components and head-to-head comparisons between different interventions and between their components. CRD42023451072.","meta-analysis","BMJ Mental Health","1","10.1136/bmjment-2025-301573","https://consensus.app/papers/effectiveness-of-combining-psychological-prevention-prina-bano/9494718361115d3c841d4f51df1f1a18/"
