Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"A systematic review and meta-analysis of psychological interventions to improve mental wellbeing","Mindfulness-based and multi-component positive psychological interventions show the greatest efficacy in improving mental wellbeing, with effects varying by target population and moderator.","J. van Agteren, M. Iasiello, Laura Lo, Jonathan D Bartholomaeus, Zoe Kopsaftis, M. Carey, M. Kyrios",2021,365,"Our current understanding of the efficacy of psychological interventions in improving mental states of wellbeing is incomplete. This study aimed to overcome limitations of previous reviews by examining the efficacy of distinct types of psychological interventions, irrespective of their theoretical underpinning, and the impact of various moderators, in a unified systematic review and meta-analysis. Four-hundred-and-nineteen randomized controlled trials from clinical and non-clinical populations (n = 53,288) were identified for inclusion. Mindfulness-based and multi-component positive psychological interventions demonstrated the greatest efficacy in both clinical and non-clinical populations. Meta-analyses also found that singular positive psychological interventions, cognitive and behavioural therapy-based, acceptance and commitment therapy-based, and reminiscence interventions were impactful. Effect sizes were moderate at best, but differed according to target population and moderator, most notably intervention intensity. The evidence quality was generally low to moderate. While the evidence requires further advancement, the review provides insight into how psychological interventions can be designed to improve mental wellbeing.","meta-analysis","Nature Human Behaviour","1","10.1038/s41562-021-01093-w","https://consensus.app/papers/a-systematic-review-and-metaanalysis-of-psychological-agteren-iasiello/05b8528339695a81891842a9907658ca/"
"Effectiveness of positive psychology interventions: a systematic review and meta-analysis","Positive psychology interventions (PPIs) have a significant small to medium effect on wellbeing, strengths, quality of life, depression, anxiety, and stress, with gains maintained at three months follow-up.","A. Carr, Katie Cullen, Cora Keeney, Ciarán Canning, O. Mooney, Ellen Chinseallaigh, Annie O’Dowd",2020,443,"ABSTRACT A meta-analysis of positive psychology intervention (PPIs) studies was conducted. PPIs were defined as interventions in which the goal of wellbeing enhancement was achieved through pathways consistent with positive psychology theory. Data were extracted from 347 studies involving over 72,000 participants from clinical and non-clinical child and adult populations in 41 countries. The effect of PPIs with an average of ten sessions over six weeks offered in multiple formats and contexts was evaluated. At post-test, PPIs had a significant small to medium effect on wellbeing (g = 0.39), strengths (g = 0.46), QoL (g = 0.48), depression (g = −0.39), anxiety (g = −0.62), and stress (g = −0.58). Gains were maintained at three months follow-up. Individuals in non-western countries with clinical problems, who engaged in longer individual or group therapy programs containing multiple PPIs benefited most. This meta-analysis shows that PPIs have an extensive evidence base supporting their effectiveness.","meta-analysis","The Journal of Positive Psychology","1","10.1080/17439760.2020.1818807","https://consensus.app/papers/effectiveness-of-positive-psychology-interventions-a-carr-cullen/6c1c2f4ed6e85373ac0f813bc4ca4fd6/"
"Wise Interventions: Psychological Remedies for Social and Personal Problems","Interventions focusing on changing subjective meanings can help people flourish and improve their lives, complementing other social reform approaches.","G. Walton, Timothy D. Wilson",2018,421,"Long-standing social problems such as poor achievement, personal and intergroup conflict, bad health, and unhappiness can seem like permanent features of the social landscape. We describe an approach to such problems rooted in basic theory and research in social psychology. This approach emphasizes subjective meaning-making-working hypotheses people draw about themselves, other people, and social situations; how deleterious meanings can arise from social and cultural contexts; how interventions to change meanings can help people flourish; and how initial change can become embedded to alter the course of people's lives. We further describe how this approach relates to and complements other prominent approaches to social reform, which emphasize not subjective meaning-making but objective change in situations or in the habits and skills of individuals. In so doing, we provide a comprehensive theoretical review and organization of a psychologically informed approach to social problems, one that encompasses a wide-range of interventions and applies to diverse problem areas. (PsycINFO Database Record (c) 2018 APA, all rights reserved).","","Psychological Review","1","10.1037/rev0000115","https://consensus.app/papers/wise-interventions-psychological-remedies-for-social-and-walton-wilson/2e7c3f8a8e1654f792183ef6271732a9/"
"Mental Health and Well-Being in the Modern Era: A Comprehensive Review of Challenges and Interventions","This paper highlights the importance of promoting mental health literacy, reducing stigma, and fostering resilience through mindfulness, cognitive behavioral techniques, and social support systems.","Aminat Magomedova, Ghizal Fatima",2025,21,"A critical global concern in the modern era is mental health and well-being, where rapid socioeconomic change, technological advancements, and lifestyle shifts have significantly impacted individuals' psychological health. Primary stressors today include urbanization, digital dependency, social isolation, and economic pressures, alongside the escalating prevalence of mental health disorders such as depression, anxiety, and burnout. The COVID-19 pandemic has further exacerbated global mental health crises, increasing the vulnerability of populations during times of uncertainty and instability. This paper critically examines emerging connections between mental health and lifestyle factors such as sleep, diet, and exercise. Interventions are discussed from a multidimensional perspective, encompassing pharmacological treatments, psychotherapy, digital mental health tools, and community-based programs. Special attention is given to the rise of telemedicine and mobile mental health apps, offering innovative solutions to bridge gaps in mental healthcare accessibility. Furthermore, the review underscores the importance of preventive approaches, promoting mental health literacy, reducing stigma, and fostering resilience through mindfulness, cognitive behavioral techniques, and social support systems.","","Cureus","","10.7759/cureus.77683","https://consensus.app/papers/mental-health-and-wellbeing-in-the-modern-era-a-magomedova-fatima/0013e87207555f3bb077910998d1b236/"
"Interventions to enhance eudaemonic psychological well-being: A meta-analytic review with Ryff's Scales of Psychological Well-being.","Targeted interventions, specifically those linked to Ryff's conceptual model, can enhance psychological eudaemonic well-being, particularly in Environmental Mastery, Personal Growth, and Self-Acceptance.","D. van Dierendonck, Hodar Lam",2022,71,"This meta-analysis enhances our insight into the effectiveness of interventions aimed at improving eudaemonic well-being. The focal outcome of these interventions is Ryff's Scales of Psychological Well-being. We summarized experimental studies and concluded whether a specific intervention approach improves individual positive functioning by assessing the six dimensions of psychological well-being and the composite score of well-being. Our study confirmed that eudaemonic well-being can be improved. The strongest influence is seen in integral programs that link directly to Ryff's conceptual model. Breaking down to dimensional scores, existing interventions had the strongest influence on Environmental Mastery, Personal Growth, and Self-Acceptance. The weakest influence was on Autonomy and Positive Relations with Others. Overall, our result is an important contribution to the well-being literature in that it shows, more convincing than previous meta-analyses due to its exclusive and comprehensive focus on Ryff's model, that psychological eudaemonic well-being can be enhanced by targeted intervention programs.","meta-analysis","Applied psychology. Health and well-being","1","10.1111/aphw.12398","https://consensus.app/papers/interventions-to-enhance-eudaemonic-psychological-dierendonck-lam/5c9f871307c05e20bcad1c8ad24a904e/"
"The Efficacy of Multi-component Positive Psychology Interventions: A Systematic Review and Meta-analysis of Randomized Controlled Trials","Multi-component positive psychology interventions (MPPIs) have small to moderate effects on improving mental health, with potential benefits for anxiety and stress.","Tom Hendriks, Marijke Schotanus-Dijkstra, A. Hassankhan, J. de Jong, E. Bohlmeijer",2020,253,"Recently, we see a sharp increase in the number of multi-component positive psychology interventions (MPPIs). The aim of the current study is to examine the efficacy of MPPIs, through a systematic review and meta-analysis. We included 50 randomized controlled trials that were published in 51 articles between 1998 and August 2018. We found standardized mean differences of Hedges’ g  = 0.34 for subjective well-being, Hedges’ g  = 0.39 for psychological well-being, indicating small to moderate effects, and Hedges’ g  = 0.29 for depression, and Hedges’ g  = 0.35 for anxiety and stress, indicating small effects. Removing outliers led to a considerable decrease in effect sizes for subjective well-being and depression, a slight decrease for psychological well-being, and a strong increase in the effect size for stress. Removing low quality studies led to a considerable decrease in the effect sizes for subjective well-being, psychological well-being, and depression, and a slight decrease for anxiety, but a strong increase for stress. Moderator analyses only showed a significant effect for study quality, showing larger effect sizes for low quality studies compared to studies of moderate and high quality. In addition, a larger effect size for anxiety was found in studies from non-Western countries compared to studies from Western countries. In sum, this systematic review and meta-analysis found evidence for the efficacy of MPPIs in improving mental health. We conclude that MPPIs have a small effect on subjective well-being and depression, and a small to moderate effect on psychological well-being. In addition, they may have a small to moderate effect on anxiety and a moderate effect on stress, but definite conclusions of the effects of MPPIs on these outcomes cannot me made due to the limited number of studies. Further well-conducted research among diverse populations is necessary to strengthen claims on the efficacy of MPPIs.","meta-analysis","Journal of Happiness Studies","1","10.1007/s10902-019-00082-1","https://consensus.app/papers/the-efficacy-of-multicomponent-positive-psychology-hendriks-schotanus-dijkstra/e30921d7556d5a009973b4c3b139562c/"
"A Meta-Analysis of the Effectiveness of Randomized Controlled Positive Psychological Interventions on Subjective and Psychological Well-Being","Positive psychological interventions increase well-being, with longer interventions showing stronger immediate effects and traditional methods being more effective than technology-assisted methods.","S. Koydemir, Aslı Bugay Sökmez, A. Schütz",2020,131,"We conducted a meta-analysis to analyze the effects of randomized controlled positive psychological interventions on subjective and psychological well-being. Our aim was to extend previous research by following a more comprehensive approach in the selection of studies, by including new moderators, by focusing on adult nonclinical populations and increases in well-being, and by comparing the effects of interventions targeting subjective and psychological well-being (i.e., hedonism or eudemonia) or a combination of the two. In contrast to previous analyses, we compared effects on different outcomes and contrasted effects of technology-assisted interventions with traditional ones. We included 68 randomized controlled studies of nonclinical populations with a total of 16,085 participants. The results showed that positive psychological interventions do increase well-being. The overall effect size (Cohen’s d ) was 0.23, but it was 0.08 for psychological well-being, 0.22 for subjective well-being, and 0.43 when the studies targeted both types of well-being. Longer interventions showed stronger immediate effects than shorter ones, and interventions based on traditional methods were more effective than those that used technology-assisted methods. With respect to short-term outcomes, there was a negative relation to age, but when long-term effects were considered, the relation to age was positive. Overall, we also found evidence of long-term effects of the interventions.","meta-analysis","Applied Research in Quality of Life","2","10.1007/s11482-019-09788-z","https://consensus.app/papers/a-metaanalysis-of-the-effectiveness-of-randomized-koydemir-s%C3%B6kmez/b85d4572efba5f6fa43a81c639659e4e/"
"Positive Psychology: A Personal History.","Positive Psychology has expanded beyond psychology to include applications in neuroscience, health, psychiatry, theology, and the humanities, with the hope that well-being will become a cornerstone of morality, politics, and religion.","M. Seligman",2019,316,"As president of the American Psychological Association in 1998, I organized researchers and practitioners to work on building well-being, not just on the traditional task of reducing ill-being. Substantial research then found that well-being causes many external benefits, including better physical and mental health. Among the applications of Positive Psychology are national psychological accounts of well-being, Positive Psychotherapy, the classification of strengths and virtues, Comprehensive Soldier Fitness, and Positive Education. Positive Psychology has spread beyond psychology into neuroscience, health, psychiatry, theology, and even to the humanities. Positive Psychology has many critics, and I comment on the strongest criticisms. I conclude with the hope that the building of well-being will become a cornerstone of morality, politics, and religion.","","Annual review of clinical psychology","1","10.1146/annurev-clinpsy-050718-095653","https://consensus.app/papers/positive-psychology-a-personal-history-seligman/5687eab3e59f58b3a27c1e13d6944fd0/"
"Personalizing a positive psychology intervention improves well-being.","Personalizing positive psychology interventions, such as life-skills lessons, can significantly increase subjective well-being and skill improvement compared to random assignment of activities.","Samantha J Heintzelman, Kostadin Kushlev, E. Diener",2023,19,"A variety of positive psychology intervention (PPI) activities can increase subjective well-being. Still, there is variability in the impact of various PPI activities across people. In two studies, we examine strategies for personalizing a program of PPI activities to efficiently increase subjective well-being. In Study 1 (N = 516), we examined participants' beliefs about and employment of various PPI activity selection strategies. Participants favored self-selection over weakness-based, strength-based, or random activity assignments. When making activity selections for themselves, they reported using the weakness-based strategy the most. The tendency to make weakness-based activity selections related to negative affect whereas strengths-based activity selections related to positive affect. In Study 2 (N = 112), we randomly assigned participants to complete a set of five PPI activities allocated either randomly, based on their skill weaknesses, or based on their self-selections. Completing life-skills lessons significantly increased subjective well-being from baseline to post-test. Furthermore, we found evidence for added benefits in terms of subjective well-being, broad well-being outcomes, and skills improvement of the weakness-based and self-selection personalization strategies compared with the random assignment of these activities. We discuss the implications for research, practice, and the well-being of individuals and societies offered by the science of PPI personalization.","rct","Applied psychology. Health and well-being","1","10.1111/aphw.12436","https://consensus.app/papers/personalizing-a-positive-psychology-intervention-heintzelman-kushlev/1aa8ceee48d25e56a65b5562b621f15f/"
"Efficacy and Moderation of Mobile App–Based Programs for Mindfulness-Based Training, Self-Compassion Training, and Cognitive Behavioral Psychoeducation on Mental Health: Randomized Controlled Noninferiority Trial","Mindfulness-based, self-compassion, and cognitive behavioral psychoeducation mobile apps effectively improve mental well-being and reduce psychological distress in adults.","Winnie W. S. Mak, Alan C. Y. Tong, S. Y. Yip, W. W. Lui, Floria H. N. Chio, A. Chan, Celia Cy Wong",2018,95,"Mindfulness-based interventions, self-compassion training, and cognitive behavioral therapy have garnered much evidence in its salutary effects on mental health. With increasing application of smartphone and mobile technology on health promotion, this study investigated the efficacy and possible moderators of mindfulness, self-compassion, and cognitive behavioral psychoeducation training mobile apps in the improvement of mental health. The aim of this study was to examine the efficacy of 3 mobile app-based programs: mindfulness-based program, self-compassion program, and cognitive behavioral psychoeducation program in improving mental well-being and reducing psychological distress. Changes in mindful awareness and self-compassion were also assessed. To further delineate the suitability of each program for different types of individuals, individual difference variables (ie, discomfort with emotions and tolerance for ambiguity) were explored for potential moderation. This study was a 3-arm, randomized, controlled, noninferiority trial examining the efficacy of mindfulness-based program, self-compassion program, and cognitive behavioral psychoeducation. Participants were randomized into either 1 of the 3 conditions. Throughout the 4-week, 28-session program, participants spent 10-15 min daily reviewing the course content and practicing various related exercises. At preprogram, postprogram, and 3-month follow-up, participants also completed Web-based measures of mental well-being, psychological distress, mindful-awareness, and self-compassion as well as the proposed moderators. Among the 2161 study participants, 508 and 349 completed the post- and 3-month follow-up assessment, respectively. All 3 conditions (mindfulness-based program: N=703; cognitive behavioral psychoeducation: N=753; self-compassion program: N=705) were found to be efficacious in improving mental well-being and reducing psychological distress. All conditions enhanced mindful awareness at postprogram. Significant interaction effect was found on self-compassion; cognitive behavioral psychoeducation and self-compassion program, but not mindfulness-based program, significantly enhanced self-compassion at postprogram. No significant differences regarding usage and users' satisfaction were found among the 3 conditions. None of the proposed moderators were found to be significant. Mindfulness-based, self-compassion, and cognitive behavioral psychoeducation mobile apps were efficacious in improving mental well-being and reducing psychological distress among adults at postprogram and 3-month follow-up. Future app-based psychological training programs should consider gamification and personalization of content or feedback to enhance engagement and mitigate the high attrition rates that are common in app-based health promotion programs. Chinese Clinical Trial Registry (ChiCTR) ChiCTR-TRC-13003468; http://www.chictr.org.cn/hvshowproject.aspx?id=6220 (Archived by WebCite at http://www.webcitation.org/734PlOz50).","rct","JMIR Mental Health","1","10.2196/mental.8597","https://consensus.app/papers/efficacy-and-moderation-of-mobile-app%E2%80%93based-programs-for-mak-tong/fe7c6525fef8525b9994334f8e9f5958/"
