Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Epigenetic modulation by life–style: advances in diet, exercise, and mindfulness for disease prevention and health optimization","Mindfulness, balanced diets, and regular physical activity can improve metabolic, cardiovascular, and mental health by influencing gene expression through epigenetic changes.","José Ostaiza-Cardenas, Andrea C. Tobar, S. C. Costa, Diana Sofia Calero, Alisson López-Carrera, Fátima German Bermúdez, Andrea Orellana-Manzano",2025,6,"Socio-economic and environmental factors significantly influence health by driving epigenetic changes that alter genetic expression and impact disease prevention. Lifestyle elements such as diet, exercise, mindfulness, and environmental exposure play crucial roles in modulating these mechanisms. A systematic review of studies from the past 13 years, conducted under PRISMA guidelines, examined interventions, epigenetic outcomes, and health impacts. Mindfulness practices, particularly meditation, were found to regulate DNA methylation, reducing stress and inflammation. Dietary interventions, such as the Mediterranean and DASH diets, enhanced health biomarkers and slowed epigenetic aging through favorable DNA methylation. Physical activities, such as high-intensity interval training and hybrid training, induced epigenetic modifications, improving metabolic function, mitochondrial biogenesis, and insulin sensitivity. These findings emphasize the importance of adopting modern lifestyle choices to promote health and prevent chronic diseases by influencing gene expression. Combining mindfulness, balanced diets, and regular physical activity offers substantial benefits for metabolic, cardiovascular, and mental health. However, more research is needed to understand the long-term effects of lifestyle factors on epigenetics and to develop personalized strategies that optimize disease prevention and overall wellbeing.","systematic review","Frontiers in Nutrition","1","10.3389/fnut.2025.1632999","https://consensus.app/papers/epigenetic-modulation-by-life%E2%80%93style-advances-in-diet-ostaiza-cardenas-tobar/c1b031aaf829510a8cef9fb994138835/"
"Can Lifestyle Medicine Improve Global Mental Health?","Lifestyle interventions can improve global mental health by addressing various illness modalities and supporting climate health.","Steve Sugden, Gia Merlo, Sam Manger",2024,3,"<jats:p xml:lang=""en"">Rationale: The global impact of mental health, specifically depression, is expected to be a top concern by 2030. Despite the growing number of medications and interventions, access to resources for well-being, psychiatric medications, and psychotherapy continues to be a long-standing barrier, regardless of a person’s socioeconomic position or wealth of their country. Objectives: This article will review the relevance of the lifestyle psychiatry pillars for treating depression and will also include a review of their impact on climate health. Methods: A systematic review was undertaken using predefined search criteria on PubMed and Google Scholar. Results: There is a bidirectionality between mental health and physical illness as individuals with poor mental health have higher comorbid medical conditions and vice versa, which further supports a common theory to chronic illness (both physical and mental). Lifestyle interventions show increased efficacy in the treatment of chronic illness, and the same interventions positively support climate health. Conclusions: The benefits of lifestyle interventions are often overlooked, but they are scientifically significant, well-tolerated by patients, and can address modalities of illness. Lifestyle psychiatry can become an integral tool for global mental health providers.</jats:p>","systematic review","Academia Mental Health and Well-Being","","10.20935/mhealthwellb6224","https://consensus.app/papers/can-lifestyle-medicine-improve-global-mental-health-sugden-merlo/01991474c1ee581b8c69038788d6a691/"
"The Role of DNA Methylation in Regulating Skeletal Muscle Adaptation to Exercise: A Literature Review","","Rozhan Aali, P. Shirkani",2024,2,"","systematic review","Undergraduate Research in Natural and Clinical Science and Technology (URNCST) Journal","","10.26685/urncst.710","https://consensus.app/papers/the-role-of-dna-methylation-in-regulating-skeletal-muscle-aali-shirkani/8e690da4c8765abf9f5b13fca88a4326/"
"Epigenetics, Resilience, Protective Factors and Factors Promoting Positive Outcomes: A Scoping Review","DNA methylation and resilience are linked to various genes and factors that promote positive outcomes in mental and physical health.","S. G. Assis, P. H. Tavares, Nayara C. S. Oliveira, Fernanda Serpeloni, J. Q. Avanci",2025,0,"While several studies have examined the relationship between adverse social exposures and epigenetic mechanisms, the association between DNA methylation, resilience, protective factors and factors that promote positive outcomes remains underexplored. This study aims to analyse scientific publications on epigenetics, specifically focusing on DNA methylation in relation to resilience and individual/social protective/positive factors. A scoping review was conducted using the descriptors DNA methylation, resilience, self-esteem, emotional regulation, social support and social and emotional functioning, covering the years 2008-2019. The databases used included Web of Science, PubMed and Embase. The analysis included 110 articles, reviewed for identification and profile, article focus, objectives, epidemiological and epigenetic methods, protective/positive factors and impacts on physical and mental health. There has been a significant, gradual increase in publications over the years, particularly regarding epidemiological studies involving human participants. Most studies utilized a candidate gene approach to assess DNA methylation, while broader genome-wide methylation profiles were less frequently examined. Histone modifications and noncoding RNAs were also discussed, especially in review articles. Resilience was identified as the most studied topic, with analyses focusing on (1) mental disorders, (2) parental mental health, (3) early life stress, (4) biological age and development, (5) clinical and physiological conditions and (6) environmental/socioeconomic factors. A wide variety of genes associating resilience and epigenetics were pointed out, for example, NR3C1, SLC6A4, BDNF, and FKBP5. Additionally, individual and social bonds and competencies such as social and emotional functioning, maternal care and social interaction among others were grouped as protective factors or that promote positive outcomes and were linked to genes such as OXTR, followed by FKBP5 and NR3C1. The significance of epigenetics in neuroscience and its potential public health applications is still emerging. This field invites reflection on prevention and health promotion strategies and highlights growing evidence that social inequalities, adversities and early-life experiences may have lasting effects on gene expression throughout the lifespan.","systematic review","International Journal of Developmental Neuroscience","3","10.1002/jdn.70042","https://consensus.app/papers/epigenetics-resilience-protective-factors-and-factors-assis-tavares/414ba22ceb245f4399e17af65a9682cf/"
"How is COVID-19 pandemic impacting mental health of children and adolescents?","The COVID-19 pandemic has led to high rates of anxiety, depression, and post-traumatic symptoms in children, with some vulnerable groups needing targeted mitigation actions.","Débora Marques de Miranda, Bruno da Silva Athanasio, Ana Cecília Sena Oliveira, A. C. Simões-e-Silva",2020,623,"","systematic review","International Journal of Disaster Risk Reduction","1","10.1016/j.ijdrr.2020.101845","https://consensus.app/papers/how-is-covid19-pandemic-impacting-mental-health-of-miranda-athanasio/b4446c907a715e9bb86b17e04591ef62/"
"Genome–Environment Interactions and Psychiatric Disorders","Environmental factors, such as social determinants of mental health, maternal stress, and poverty, influence the pathogenesis of psychiatric disorders by altering epigenetic mechanisms.","J. Peedicayil",2023,19,"Environmental factors are known to interact with the genome by altering epigenetic mechanisms regulating gene expression and contributing to the pathogenesis of psychiatric disorders. This article is a narrative review of how the major environmental factors contribute to the pathogenesis of common psychiatric disorders such as schizophrenia, bipolar disorder, major depressive disorder, and anxiety disorder this way. The cited articles were published between 1 January 2000 and 31 December 2022 and were obtained from PubMed and Google Scholar. The search terms used were as follows: gene or genetic; genome; environment; mental or psychiatric disorder; epigenetic; and interaction. The following environmental factors were found to act epigenetically on the genome to influence the pathogenesis of psychiatric disorders: social determinants of mental health, maternal prenatal psychological stress, poverty, migration, urban dwelling, pregnancy and birth complications, alcohol and substance abuse, microbiota, and prenatal and postnatal infections. The article also discusses the ways by which factors such as drugs, psychotherapy, electroconvulsive therapy, and physical exercise act epigenetically to alleviate the symptoms of psychiatric disorders in affected patients. These data will be useful information for clinical psychiatrists and those researching the pathogenesis and treatment of psychiatric disorders.","systematic review","Biomedicines","1","10.3390/biomedicines11041209","https://consensus.app/papers/genome%E2%80%93environment-interactions-and-psychiatric-peedicayil/01332ae1819253fb96dc7ebfcc6dc14b/"
"Digital interventions to promote psychological resilience: a systematic review and meta-analysis","Digital resilience interventions show small favorable effects on mental distress, positive mental health, and resilience factors, with potential for future challenges.","Sarah K. Schäfer, Lisa von Boros, Lea M. Schaubruch, Angela M. Kunzler, Saskia Lindner, Friederike Koehler, Tabea Werner, Federico Zappalà, Isabella Helmreich, Michèle Wessa, K. Lieb, O. Tüscher",2024,35,"Societies are exposed to major challenges at an increasing pace. This underscores the need for preventive measures such as resilience promotion that should be available in time and without access barriers. Our systematic review summarizes evidence on digital resilience interventions, which have the potential to meet these demands. We searched five databases for randomized-controlled trials in non-clinical adult populations. Primary outcomes were mental distress, positive mental health, and resilience factors. Multilevel meta-analyses were performed to compare intervention and control groups at post-intervention and follow-up assessments. We identified 101 studies comprising 20,010 participants. Meta-analyses showed small favorable effects on mental distress, SMD = -0.24, 95% CI [-0.31, -0.18], positive mental health, SMD = 0.27, 95% CI [0.13, 0.40], and resilience factors, SMD = 0.31, 95% CI [0.21, 0.41]. Among middle-aged samples, older age was associated with more beneficial effects at follow-up, and effects were smaller for active control groups. Effects were comparable to those of face-to-face interventions and underline the potential of digital resilience interventions to prepare for future challenges.","meta-analysis","NPJ Digital Medicine","1","10.1038/s41746-024-01017-8","https://consensus.app/papers/digital-interventions-to-promote-psychological-sch%C3%A4fer-boros/dc6da9815b605d5d9d702df1114a5955/"
"Factors Associated with the Development of Depression and the Influence of Obesity on Depressive Disorders: A Narrative Review","Obesity is associated with an increased risk of depression, potentially due to chronic inflammation, neurochemical dysregulation, and emotional and social challenges related to weight stigma and obesity management.","A. Alberti, David Richer Araujo Coelho, W. Vieira, Betine Moehlecke Iser, Rose Lampert, Eliane Traebert, Bruna Becker da Silva, Bruna Hoffmann de Oliveira, Graziela Leão, Gabriela de Souza, F. M. Dallacosta, Gabriela Kades, Kristian Madeira, Matheus Uba Chupel, Fernando Schorr Grossl, Renan Souza, Ben Hur Soares, Ricelli Endrigo Ruppel da Rocha, Erica da Silva Sipriano, Daniel Fernandes Martins, L. Agostinetto",2024,22,"Depression affects several aspects of life, including socioeconomic status, relationships, behavior, emotions, and overall health. The etiology of depression is complex and influenced by various factors, with obesity emerging as a significant contributor. This narrative review aims to investigate the factors associated with the development of depression, with a particular focus on the role of obesity. The literature search was conducted on PubMed, Embase, and PsycINFO from May to July 2024. The review highlights the impact of environmental and socioeconomic conditions; lifestyle choices, including physical activity and dietary habits; stress; traumatic experiences; neurotransmitter imbalances; medical and psychological conditions; hormone fluctuations; and epigenetic factors on depression. A key emphasis is placed on the inflammatory processes linked to obesity, which may drive the bidirectional relationship between obesity and depression. The findings suggest that obesity is associated with an increased risk of depression, potentially due to chronic inflammation, neurochemical dysregulation, and the emotional and social challenges related to weight stigma and obesity management. Understanding these interconnected factors is important for developing targeted interventions to address both obesity and depression, leading to improved quality of life for those affected.","systematic review","Biomedicines","1","10.3390/biomedicines12091994","https://consensus.app/papers/factors-associated-with-the-development-of-depression-and-alberti-coelho/685b83686c775799a743376fab4dd0c2/"
"Exposure to war and conflict: The individual and inherited epigenetic effects on health, with a focus on post-traumatic stress disorder","War and conflict exposure may increase the likelihood of developing gastrointestinal, auditory, metabolic, and circadian issues, as well as PTSD, with heritable effects including decreased cortisol levels and a heightened mortality risk in offspring.","Zara Raza, Syeda F. Hussain, Victoria S Foster, Joseph Wall, P. Coffey, John F. Martin, Renata S. M. Gomes",2023,13,"War and conflict are global phenomena, identified as stress-inducing triggers for epigenetic modifications. In this state-of-the-science narrative review based on systematic principles, we summarise existing data to explore the outcomes of these exposures especially in veterans and show that they may result in an increased likelihood of developing gastrointestinal, auditory, metabolic and circadian issues, as well as post-traumatic stress disorder (PTSD). We also note that, despite a potential ""healthy soldier effect"", both veterans and civilians with PTSD exhibit the altered DNA methylation status in hypothalamic-pituitary-adrenal (HPA) axis regulatory genes such as. Genes associated with sleep (;) are seen to be differentially methylated in veterans. A limited number of studies also revealed hereditary effects of war exposure across groups: decreased cortisol levels and a heightened (sex-linked) mortality risk in offspring. Future large-scale studies further identifying the heritable risks of war, as well as any potential differences between military and civilian populations, would be valuable to inform future healthcare directives.","systematic review","Frontiers in Epidemiology","","10.3389/fepid.2023.1066158","https://consensus.app/papers/exposure-to-war-and-conflict-the-individual-and-inherited-raza-hussain/be9ca6bfc7735ab6810e585fcc70a718/"
"Relevance of diet in schizophrenia: a review focusing on prenatal nutritional deficiency, obesity, oxidative stress and inflammation","A healthy diet rich in anti-inflammatory nutrients and antioxidants may help manage schizophrenia by reducing oxidative stress, preventing complications, and improving quality of life.","Viorica Rarinca, Amalia Vasile, Mălina Visternicu, Vasile Burlui, Gabriela Halitchi, A. Ciobîcă, A. Sîngeap, R. Dobrin, Ecaterina Burlui, Lucian Maftei, A. Trifan",2024,6,"Schizophrenia is a complex mental disorder influenced by genetic and environmental factors, including dietary habits. Oxidative stress and inflammation play a crucial role in the pathophysiology of schizophrenia. Emerging research suggests that diet may affect schizophrenia through different biological mechanisms beyond oxidative stress and inflammation. In particular, epigenetic changes may alter the expression of genes related to neurodevelopment and neurotransmitter systems, while neuroplasticity plays a crucial role in brain adaptation and resilience to psychiatric disorders. The literature search included the main available databases (Science Direct, PubMed and Google Scholar), considering the English language, and our screening was performed based on several words such as ""schizophrenia"", ""diet"", ""nutrients"", ""obesity"", ""oxidative stress"", ""inflammation"", ""antioxidants"" and ""prenatal nutritional deficiency"". The review focused specifically on studies examining the relevance of diet in schizophrenia, as well as prenatal nutritional deficiency, obesity, oxidative stress, and inflammation associated with this disorder. Following a review of the literature, it was found that nutritional deficiencies, including lack of omega-3 fatty acids, vitamins D, and B, during the prenatal and postnatal periods can have a negative impact on neurodevelopment and increase the risk of schizophrenia. Patients with schizophrenia have imbalances in antioxidant enzymes, such as glutathione peroxidase (GPx), superoxide dismutase (SOD), catalase (CAT), and reduced levels of antioxidants (vitamin E, vitamin C). These biochemical changes lead to an increase in markers of oxidative stress, including malondialdehyde (MDA). In addition, cytokine-mediated inflammation, microglial activation, and intestinal dysbiosis are associated with the onset of schizophrenia and the severity of schizophrenia symptoms. Currently, there is no universally accepted dietary regimen for control. However, various diets and nutritional methods are being researched and applied to alleviate the symptoms of schizophrenia and improve the overall health of patients, including the Mediterranean diet, the ketogenic diet, the gluten-free diet, and the DASH (Dietary Approaches to Stop Hypertension) diet. A healthy diet, rich in anti-inflammatory nutrients and antioxidants, may help manage schizophrenia by reducing oxidative stress, preventing complications, and improving quality of life. Omega-3 fatty acids, vitamin D, and B vitamins are particularly important for brain development and function. In this review, we aim to analyze the literature on the influence of diet on schizophrenia, focusing on the role of prenatal nutritional deficiencies, obesity, oxidative stress, and inflammation.","systematic review","Frontiers in Nutrition","1","10.3389/fnut.2024.1497569","https://consensus.app/papers/relevance-of-diet-in-schizophrenia-a-review-focusing-on-rarinca-vasile/8acc0eb92aa35f38b97a7e339e490bb9/"
