Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Revolutionizing healthcare: the role of artificial intelligence in clinical practice","AI integration in healthcare can revolutionize disease diagnosis, treatment selection, and patient engagement, but ethical concerns and human expertise must be addressed for responsible implementation.","Shuroug A. Alowais, Sahar S. Alghamdi, Nada Alsuhebany, Tariq Alqahtani, Abdulrahman I. Alshaya, Sumaya N Almohareb, Atheer Aldairem, Mohammed A. Alrashed, Khalid Bin saleh, H. Badreldin, Majed S. Al Yami, Shmeylan A. Al Harbi, Abdulkareem M. Albekairy",2023,1809,"Healthcare systems are complex and challenging for all stakeholders, but artificial intelligence (AI) has transformed various fields, including healthcare, with the potential to improve patient care and quality of life. Rapid AI advancements can revolutionize healthcare by integrating it into clinical practice. Reporting AI's role in clinical practice is crucial for successful implementation by equipping healthcare providers with essential knowledge and tools. This review article provides a comprehensive and up-to-date overview of the current state of AI in clinical practice, including its potential applications in disease diagnosis, treatment recommendations, and patient engagement. It also discusses the associated challenges, covering ethical and legal considerations and the need for human expertise. By doing so, it enhances understanding of AI's significance in healthcare and supports healthcare organizations in effectively adopting AI technologies. The current investigation analyzed the use of AI in the healthcare system with a comprehensive review of relevant indexed literature, such as PubMed/Medline, Scopus, and EMBASE, with no time constraints but limited to articles published in English. The focused question explores the impact of applying AI in healthcare settings and the potential outcomes of this application. Integrating AI into healthcare holds excellent potential for improving disease diagnosis, treatment selection, and clinical laboratory testing. AI tools can leverage large datasets and identify patterns to surpass human performance in several healthcare aspects. AI offers increased accuracy, reduced costs, and time savings while minimizing human errors. It can revolutionize personalized medicine, optimize medication dosages, enhance population health management, establish guidelines, provide virtual health assistants, support mental health care, improve patient education, and influence patient-physician trust. AI can be used to diagnose diseases, develop personalized treatment plans, and assist clinicians with decision-making. Rather than simply automating tasks, AI is about developing technologies that can enhance patient care across healthcare settings. However, challenges related to data privacy, bias, and the need for human expertise must be addressed for the responsible and effective implementation of AI in healthcare.","systematic review","BMC Medical Education","1","10.1186/s12909-023-04698-z","https://consensus.app/papers/revolutionizing-healthcare-the-role-of-artificial-alowais-alghamdi/4e53e4791ae25a278b07544b72ad6552/"
"Large Language Models for Mental Health Applications: Systematic Review","Large language models (LLMs) show potential in detecting mental health issues and providing accessible eHealth services, but current risks and ethical concerns limit their clinical use.","Zhijun Guo, Alvina Lai, J. Thygesen, Joseph Farrington, Thomas Keen, Kezhi Li",2024,112,"Large language models (LLMs) are advanced artificial neural networks trained on extensive datasets to accurately understand and generate natural language. While they have received much attention and demonstrated potential in digital health, their application in mental health, particularly in clinical settings, has generated considerable debate. This systematic review aims to critically assess the use of LLMs in mental health, specifically focusing on their applicability and efficacy in early screening, digital interventions, and clinical settings. By systematically collating and assessing the evidence from current studies, our work analyzes models, methodologies, data sources, and outcomes, thereby highlighting the potential of LLMs in mental health, the challenges they present, and the prospects for their clinical use. Adhering to the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) guidelines, this review searched 5 open-access databases: MEDLINE (accessed by PubMed), IEEE Xplore, Scopus, JMIR, and ACM Digital Library. Keywords used were (mental health OR mental illness OR mental disorder OR psychiatry) AND (large language models). This study included articles published between January 1, 2017, and April 30, 2024, and excluded articles published in languages other than English. In total, 40 articles were evaluated, including 15 (38%) articles on mental health conditions and suicidal ideation detection through text analysis, 7 (18%) on the use of LLMs as mental health conversational agents, and 18 (45%) on other applications and evaluations of LLMs in mental health. LLMs show good effectiveness in detecting mental health issues and providing accessible, destigmatized eHealth services. However, assessments also indicate that the current risks associated with clinical use might surpass their benefits. These risks include inconsistencies in generated text; the production of hallucinations; and the absence of a comprehensive, benchmarked ethical framework. This systematic review examines the clinical applications of LLMs in mental health, highlighting their potential and inherent risks. The study identifies several issues: the lack of multilingual datasets annotated by experts, concerns regarding the accuracy and reliability of generated content, challenges in interpretability due to the ""black box"" nature of LLMs, and ongoing ethical dilemmas. These ethical concerns include the absence of a clear, benchmarked ethical framework; data privacy issues; and the potential for overreliance on LLMs by both physicians and patients, which could compromise traditional medical practices. As a result, LLMs should not be considered substitutes for professional mental health services. However, the rapid development of LLMs underscores their potential as valuable clinical aids, emphasizing the need for continued research and development in this area. PROSPERO CRD42024508617; https://www.crd.york.ac.uk/prospero/display_record.php?RecordID=508617.","systematic review","JMIR Mental Health","1","10.2196/57400","https://consensus.app/papers/large-language-models-for-mental-health-applications-guo-lai/9bde40298f8154e5be5a9ca339e27801/"
"Scoping Review of Responsibilities and Challenges for Healthcare Professionals in Physical Medicine and Functional Rehabilitation","Rehabilitation physicians face complex responsibilities and challenges, and clear guidelines are needed to ensure ethical and effective delivery of physical medicine and functional rehabilitation services.","Hine Abouzahir, H. Boutalja, A. Belhouss, Fatima Lmidmani, A. El Fatimi, H. Benyaich",2025,0,"Background: This study aims to explore the operational aspects of Physical medicine and functional rehabilitation (PMFR) and
examine the ethical and medical obligations that professionals in this field face.

Methods: The adopted methodology is based on a systematic search across various databases, specialized journals, and official
documents. Following PRISMA-ScR guidelines, fifty-five articles were selected for indepth analysis.

Results: The findings emphasize the complexity of the dynamics in which rehabilitation physicians operate, often integrated
into multidisciplinary teams. Their practice is influenced by medical-social aspects, and constantly evolving health risks add a
layer of complexity, transcending the traditional boundaries of PMFR. Ambiguities surrounding best practices specific to this
field generate unique challenges, but positive changes are underway with the adoption of quality care protocols and
accreditation. This shift towards universally accepted guidelines provides optimism for improving functional
rehabilitation services.

Conclusion: This study underscores the importance of a nuanced understanding of the responsibilities and complexities
associated with PMFR practice. Faced with a constantly evolving medical landscape, concerted efforts are needed to establish
clear and comprehensive guidelines, ensuring the ethical and effective delivery of PMFR services. These initiatives will
contribute to improving outcomes for patients and advancing the overall specialty.","systematic review","Moroccan Forensic and Law","","10.63126/euyb8052","https://consensus.app/papers/scoping-review-of-responsibilities-and-challenges-for-abouzahir-boutalja/763bd4c9c0465b8e92e76b72c5c7e62f/"
"Can microbiota gut-brain axis reverse neurodegenerative disorders in human?","Gut microbiota-brain-axis interventions show potential in reversing neurodegenerative disorders, with non-pharmacological interventions being more effective than pharmacological treatments.","Xingxing Yuan, Serge Yannick Ouedraogo, M. L. Jammeh, Lucette Simbiliyabo, J. Jabang, Mariam Jaw, A. Darboe, Yurong Tan, Ousman Bajinka",2025,9,"","systematic review","Ageing Research Reviews","1","10.1016/j.arr.2025.102664","https://consensus.app/papers/can-microbiota-gutbrain-axis-reverse-neurodegenerative-yuan-ouedraogo/7dd2b9a6dbcc5d3a844013fff273a911/"
"Barriers to and Facilitators of User Engagement With Digital Mental Health Interventions: Systematic Review","Common barriers to user engagement with digital mental health interventions include severe mental health issues, technical issues, and lack of personalization, while facilitators include social connectedness, increased insight, and feeling in control of one's health.","J. Borghouts, E. Eikey, G. Mark, Cinthia De Leon, S. Schueller, Margaret Schneider, N. Stadnick, Kai Zheng, D. Mukamel, Dara H. Sorkin",2021,705,"Digital mental health interventions (DMHIs), which deliver mental health support via technologies such as mobile apps, can increase access to mental health support, and many studies have demonstrated their effectiveness in improving symptoms. However, user engagement varies, with regard to a user's uptake and sustained interactions with these interventions. This systematic review aims to identify common barriers and facilitators that influence user engagement with DMHIs. A systematic search was conducted in the SCOPUS, PubMed, PsycINFO, Web of Science, and Cochrane Library databases. Empirical studies that report qualitative and/or quantitative data were included. A total of 208 articles met the inclusion criteria. The included articles used a variety of methodologies, including interviews, surveys, focus groups, workshops, field studies, and analysis of user reviews. Factors extracted for coding were related to the end user, the program or content offered by the intervention, and the technology and implementation environment. Common barriers included severe mental health issues that hampered engagement, technical issues, and a lack of personalization. Common facilitators were social connectedness facilitated by the intervention, increased insight into health, and a feeling of being in control of one's own health. Although previous research suggests that DMHIs can be useful in supporting mental health, contextual factors are important determinants of whether users actually engage with these interventions. The factors identified in this review can provide guidance when evaluating DMHIs to help explain and understand user engagement and can inform the design and development of new digital interventions.","systematic review","Journal of Medical Internet Research","1","10.2196/24387","https://consensus.app/papers/barriers-to-and-facilitators-of-user-engagement-with-borghouts-eikey/4b5efdbc34f350199867000cfad3ac70/"
"Machine learning methods for functional recovery prediction and prognosis in post-stroke rehabilitation: a systematic review","Machine learning algorithms can predict motor functional recovery in post-stroke patients, but face methodological limitations and require further development.","S. Campagnini, C. Arienti, Michele Patrini, Piergiuseppe Liuzzi, A. Mannini, M. Carrozza",2022,82,"Rehabilitation medicine is facing a new development phase thanks to a recent wave of rigorous clinical trials aimed at improving the scientific evidence of protocols. This phenomenon, combined with new trends in personalised medical therapies, is expected to change clinical practice dramatically. The emerging field of Rehabilomics is only possible if methodologies are based on biomedical data collection and analysis. In this framework, the objective of this work is to develop a systematic review of machine learning algorithms as solutions to predict motor functional recovery of post-stroke patients after treatment. We conducted a comprehensive search of five electronic databases using the Patient, Intervention, Comparison and Outcome (PICO) format. We extracted health conditions, population characteristics, outcome assessed, the method for feature extraction and selection, the algorithm used, and the validation approach. The methodological quality of included studies was assessed using the prediction model risk of bias assessment tool (PROBAST). A qualitative description of the characteristics of the included studies as well as a narrative data synthesis was performed. A total of 19 primary studies were included. The predictors most frequently used belonged to the areas of demographic characteristics and stroke assessment through clinical examination. Regarding the methods, linear and logistic regressions were the most frequently used and cross-validation was the preferred validation approach. We identified several methodological limitations: small sample sizes, a limited number of external validation approaches, and high heterogeneity among input and output variables. Although these elements prevented a quantitative comparison across models, we defined the most frequently used models given a specific outcome, providing useful indications for the application of more complex machine learning algorithms in rehabilitation medicine.","systematic review","Journal of NeuroEngineering and Rehabilitation","1","10.1186/s12984-022-01032-4","https://consensus.app/papers/machine-learning-methods-for-functional-recovery-campagnini-arienti/150f34cf517559a0b31c35d821fce295/"
"Research progress in the preparation, structural characterization, and biological activities of polysaccharides from traditional Chinese medicine.","Traditional Chinese medicine polysaccharides (TCMPs) are non-toxic, biocompatible, and potentially effective therapeutic drugs for use in functional foods and natural medicines.","Hongkun Xue, Pengqi Zhang, Can Zhang, Yuchao Gao, Jiaqi Tan",2024,35,"","systematic review","International journal of biological macromolecules","1","10.1016/j.ijbiomac.2024.129923","https://consensus.app/papers/research-progress-in-the-preparation-structural-xue-zhang/044f6a5d397d5c30b74757c8b552fbb8/"
"Functional Data Analysis Applications in Medicine: A Systematic Review","Functional data analysis (FDA) is a valuable tool for analyzing longitudinal data in clinical research, improving understanding and interpretation of subtle variations in time-trajectories.","Nicolás Orozco, Santiago Ortiz, G. Ospina-Táscon",2025,1,"Analysis of longitudinal data in medical research exhibits complexities inherent to the nature of correlated and irregular‐timed observations. Functional data analysis (FDA) offers a robust framework to address these challenges, encompassing elements such as smoothing techniques, clustering adjustments, data reduction, and functional linear modeling. This systematic review was conducted under the Preferred Reporting Items for Systematic Reviews and Meta‐Analyses (PRISMA) statement. A comprehensive search strategy in 11 databases was conducted to identify original research manuscripts focused on FDA applications in medicine, published between January 1995 and March 2024. Manuscripts focused on such clinical applications of FDA were excluded. From 1796 potential manuscripts, 93 were selected for qualitative synthesis. Utilization of FDA methods has progressively increased over the last 25 years. Smoothing techniques (76.3%), functional principal component analysis (50.5%), supervised learning models (46.2%), and clustering methods (22.5%) were identified as the most used FDA methods. FDA represents a valuable and robust tool for analyzing longitudinal data in clinical research. Adequate application of FDA methods should improve the understanding and interpretation of subtle variations in time‐trajectories of longitudinal data sets.","systematic review","Wiley Interdisciplinary Reviews: Computational Statistics","1","10.1002/wics.70026","https://consensus.app/papers/functional-data-analysis-applications-in-medicine-a-orozco-ortiz/56c6b233b6035d6fb76e389fcba35ec7/"
"Fermented Tea and Cognitive Dysfunction in Diabetes: A Novel Perspective on the Gut‐Brain AXIS","Fermented tea may preserve cognitive function in diabetic individuals by targeting the gut microbiome and gut-brain axis, potentially improving cognitive health through the gut-brain axis.","Ruyi Zhang, Wenli Liao",2025,0,"The interplay among diabetes, cognitive decline, and the gut microbiome represents an emerging field of scientific inquiry. The gut-brain axis serves as a crucial communication network between the gastrointestinal system and the central nervous system, playing a significant role in diabetes-related cognitive deterioration. Fermented tea, enriched with bioactive constituents, offers a promising therapeutic strategy by modulating this axis. Specifically, compounds including catechins in fermented tea positively modulate gut microbiota composition, promoting commensal bacteria while suppressing pathogenic strains. This microbial shift enhances the production of short-chain fatty acids, which may strengthen gut barrier integrity, attenuate systemic inflammation, and thereby influence cognitive health via the gut-brain axis. Concurrently, the antioxidant properties of tea polyphenols and catechins mitigate oxidative stress, a key pathogenic factor in diabetic cognitive impairment. Furthermore, the anti-inflammatory effects of fermented tea may potentially ameliorate chronic low-grade inflammation in diabetes, offering a plausible pathway for cognitive improvement. This systematic review, conducted through comprehensive searches of PubMed, Web of Science, CNKI (China National Knowledge Infrastructure), and Wanfang databases, synthesizes evidence supporting fermented tea as a natural intervention to preserve cognitive function in diabetic individuals by targeting the gut microbiome and the gut-brain axis. Notably, it also explores the potential application ofas a regionally specific intervention for diabetes-related cognitive dysfunction. Collectively, these insights underscore the necessity for rigorous mechanistic investigations and robust clinical validation to fully elucidate therapeutic mechanisms of fermented tea and translate these findings into clinical practice.","systematic review","Food Science & Nutrition","1","10.1002/fsn3.71048","https://consensus.app/papers/fermented-tea-and-cognitive-dysfunction-in-diabetes-a-zhang-liao/8ba8049761c45046a98900d3bfea238d/"
"Dietary sugar consumption and health: umbrella review","High dietary sugar consumption is generally more harmful than beneficial for health, with limiting sugar sweetened beverage consumption to less than one serving per week to reduce adverse effects on health.","Yin Huang, Zeyu Chen, Bo Chen, Jinze Li, Xiang Yuan, Jin Li, Wen Wang, Tingting Dai, Hong-ying Chen, Yan Wang, Ruyi Wang, Pu Wang, Jianbing Guo, Q. Dong, Chengfei Liu, Q. Wei, D. Cao, Liangren Liu",2023,233,"To evaluate the quality of evidence, potential biases, and validity of all available studies on dietary sugar consumption and health outcomes. Umbrella review of existing meta-analyses. PubMed, Embase, Web of Science, Cochrane Database of Systematic Reviews, and hand searching of reference lists. Systematic reviews and meta-analyses of randomised controlled trials, cohort studies, case-control studies, or cross sectional studies that evaluated the effect of dietary sugar consumption on any health outcomes in humans free from acute or chronic diseases. The search identified 73 meta-analyses and 83 health outcomes from 8601 unique articles, including 74 unique outcomes in meta-analyses of observational studies and nine unique outcomes in meta-analyses of randomised controlled trials. Significant harmful associations between dietary sugar consumption and 18 endocrine/metabolic outcomes, 10 cardiovascular outcomes, seven cancer outcomes, and 10 other outcomes (neuropsychiatric, dental, hepatic, osteal, and allergic) were detected. Moderate quality evidence suggested that the highest versus lowest dietary sugar consumption was associated with increased body weight (sugar sweetened beverages) (class IV evidence) and ectopic fatty accumulation (added sugars) (class IV evidence). Low quality evidence indicated that each serving/week increment of sugar sweetened beverage consumption was associated with a 4% higher risk of gout (class III evidence) and each 250 mL/day increment of sugar sweetened beverage consumption was associated with a 17% and 4% higher risk of coronary heart disease (class II evidence) and all cause mortality (class III evidence), respectively. In addition, low quality evidence suggested that every 25 g/day increment of fructose consumption was associated with a 22% higher risk of pancreatic cancer (class III evidence). High dietary sugar consumption is generally more harmful than beneficial for health, especially in cardiometabolic disease. Reducing the consumption of free sugars or added sugars to below 25 g/day (approximately 6 teaspoons/day) and limiting the consumption of sugar sweetened beverages to less than one serving/week (approximately 200-355 mL/week) are recommended to reduce the adverse effect of sugars on health. PROSPERO CRD42022300982.","meta-analysis","The BMJ","1","10.1136/bmj-2022-071609","https://consensus.app/papers/dietary-sugar-consumption-and-health-umbrella-review-huang-chen/504e6ec57fca5d519da19cce1649cb0a/"
