Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Embodied Mindfulness Through Movement: A Scoping Review of Dance-Based Interventions for Mental Well-Being in Recreational Populations","Dance-based mindfulness interventions in recreational contexts show promising psychosomatic and emotional benefits, but more research is needed.","Aglaia Zafeiroudi, I. Tsartsapakis, Ioannis Trigonis, Olga Kouli, Dimitris Goulimaris, C. Kouthouris",2025,0,"Mindfulness has expanded from seated meditation to include embodied practices emphasizing somatic awareness and emotional regulation. Dance offers a creative, accessible pathway to mindfulness, especially in non-clinical settings where movement-based approaches may better support self-regulation, interoception, and well-being. This scoping review investigated empirical studies on dance-based mindfulness interventions targeting non-clinical, amateur and recreational populations.Six databases (PubMed, PsycINFO, Scopus, ERIC, Web of Science, and Google Scholar) were searched for peer-reviewed studies published between 2010 and 2025. Eligible studies combined dance with mindfulness and somatic movement practices and were conducted with non-professional participants of all ages in non-clinical settings. Study selection, data extraction, and appraisal followed PRISMA-ScR guidelines.Ten empirical studies met the inclusion criteria, spanning diverse populations from primary school children to older adults. Interventions included Dance/Movement Therapy, ballet with yoga, Sufi-inspired group dance, and school- or community-based mindful movement programs. Reported outcomes included improvements in body awareness, emotional regulation, stress reduction, self-compassion, social connection, and overall well-being. A thematic synthesis identified five domains: (1) psychological and emotional outcomes, (2) embodiment and self-compassion, (3) relational and social benefits, (4) feasibility and acceptability, and (5) sustained and preventive effects.Dance-based mindfulness interventions in recreational contexts show promising psychosomatic and emotional benefits. Although the current empirical base is limited and methodologically diverse, this scoping review provides a necessary foundation for understanding this emerging field. There remains a strong need for interventions that are theoretically grounded, culturally sensitive, and pedagogically integrated, particularly within classroom-based dance educational contexts.","systematic review","Healthcare","","10.3390/healthcare13172230","https://consensus.app/papers/embodied-mindfulness-through-movement-a-scoping-review-of-zafeiroudi-tsartsapakis/b2214487692953bab3d3b6eb355d2bf1/"
"Effects of mind–body therapies on depression among adolescents: a systematic review and network meta-analysis","Yoga, dance therapy, and Tai Chi are more effective than other mind-body therapies in reducing depression symptoms among adolescents.","Shulai Luo, Zhengyang Mei, Guisong Fang, Guogang Mu, Xiuying Zhang, Shi Luo",2024,11,"Depression poses significant threats to adolescents' health globally. Research has shown the potential of mind-body therapies to alleviate depression, but limited studies have directly compared the therapeutic effects of different types of mind-body therapies on adolescent depression and the optimal therapy remain unclear. Therefore, we conducted a systematic review and network meta-analysis of randomized controlled trials that met the inclusion criteria to explore the effectiveness of different types of mind-body therapies as interventions to improve depression among adolescents, and to identify the most effective interventions. A comprehensive search of databases including PubMed, EMBASE, Cochrane Library, Web of Science, and Scopus up to January 2024 was conducted to assess the impact of mind-body therapies on depression among adolescents. The risk of bias of the included studies was evaluated using Cochrane Review Manager 5.4. STATA 18.0 was used for network meta-analysis. The node-splitting method was used to test the local inconsistency of the network meta-analysis. Funnel plots and the Egger's test were utilized to assess the potential impact of bias in this study. This network meta-analysis included 9 randomized controlled trials involving a total of 955 subjects. The results indicated that yoga, dance therapy and Tai Chi were more effective than other mind-body therapies in reducing symptoms of depression among adolescents. Specifically, according to the SUCRA ranking, yoga was rated to be the optimal intervention for adolescents with depression (SCURA: 82.2%), followed by dance therapy (SCURA: 77.5%) and Tai Chi (SCURA: 64.9%). This study revealed that mind-body therapies have positive effects on improving depression among adolescents. Yoga may be the most effective intervention among the different types of mind-body therapies. However, due to the small sample size of patients included, the certainty of the results was limited to some extent. Therefore, further investigation is necessary to strengthen the evidence base when more relevant studies become available. https://www.crd.york.ac.uk/PROSPERO/, identifier CRD42024508774.","meta-analysis","Frontiers in Public Health","1","10.3389/fpubh.2024.1431062","https://consensus.app/papers/effects-of-mind%E2%80%93body-therapies-on-depression-among-luo-mei/8e4881dfc2395c9a8cad541dee7f8330/"
"Integrative Oncology Care of Symptoms of Anxiety and Depression in Adults With Cancer: Society for Integrative Oncology–ASCO Guideline","Mindfulness-based interventions, yoga, relaxation, music therapy, reflexology, and aromatherapy are recommended for managing anxiety and depression symptoms in adults with cancer.","L. Carlson, Nofisat Ismaila, E. Addington, Gary N. Asher, C. Atreya, L. Balneaves, J. Bradt, Nina Fuller-Shavel, Joseph Goodman, C. Hoffman, Alissa Huston, Ashwin Mehta, C. Paller, Kimberly Richardson, D. Seely, C. Siwik, J. Temel, J. Rowland",2023,128,"To provide evidence-based recommendations to health care providers on integrative approaches to managing anxiety and depression symptoms in adults living with cancer. The Society for Integrative Oncology and ASCO convened an expert panel of integrative oncology, medical oncology, radiation oncology, surgical oncology, palliative oncology, social sciences, mind-body medicine, nursing, methodology, and patient advocacy representatives. The literature search included systematic reviews, meta-analyses, and randomized controlled trials published from 1990 through 2023. Outcomes of interest included anxiety or depression symptoms as measured by validated psychometric tools, and adverse events. Expert panel members used this evidence and informal consensus with the Guidelines into Decision Support methodology to develop evidence-based guideline recommendations. The literature search identified 110 relevant studies (30 systematic reviews and 80 randomized controlled trials) to inform the evidence base for this guideline. Recommendations were made for mindfulness-based interventions (MBIs), yoga, relaxation, music therapy, reflexology, and aromatherapy (using inhalation) for treating symptoms of anxiety during active treatment; and MBIs, yoga, acupuncture, tai chi and/or qigong, and reflexology for treating anxiety symptoms after cancer treatment. For depression symptoms, MBIs, yoga, music therapy, relaxation, and reflexology were recommended during treatment, and MBIs, yoga, and tai chi and/or qigong were recommended post-treatment. Issues of patient-health care provider communication, health disparities, comorbid medical conditions, cost implications, guideline implementation, provider training and credentialing, and quality assurance of natural health products are discussed. While several approaches such as MBIs and yoga appear effective, limitations of the evidence base including assessment of risk of bias, nonstandardization of therapies, lack of diversity in study samples, and lack of active control conditions as well as future research directions are discussed.Additional information is available at www.asco.org/survivorship-guidelines.","systematic review","Journal of Clinical Oncology","1","10.1200/jco.23.00857","https://consensus.app/papers/integrative-oncology-care-of-symptoms-of-anxiety-and-carlson-ismaila/277b83e7cc7c523b8b5c71098f61b3ae/"
"Body-Centered Interventions for Psychopathological Conditions: A Review","Body-centered interventions, particularly massage therapy, can effectively reduce psychopathology and improve emotional well-being.","Mary S Tarsha, Sohee Park, Suzi Tortora",2020,35,"World-wide, billions of dollars are spent each year on body-centered interventions to alleviate both physical and psychological pathologies. Given the high demand and increasing popularity of body-centered interventions, there is need for a systematic organization of empirical evidence associated with body-centered therapies. This article reviews the psychological effects of body-centered interventions on emotional well-being, including both self and other-administered (receptive) therapies. Theory behind body-centered interventions rely upon the bidirectional communication pathway between the brain and body. We investigated the bidirectional communication pathway between the brain and body by evaluating evidence across multiple body-centered therapies. The research reviewed includes studies that investigate effects of massage therapy, reflexology, acupuncture, functional relaxation, emotional freedom technique, Rolfing, yoga, tai-chi, and dance/movement therapy on psychological conditions across the lifespan. Results demonstrated that overall, massage therapy, tai-chi, dance/movement therapy, functional relaxation, reflexology, acupuncture and emotional freedom technique seem to alleviate stress, depression, anxiety, bipolar disorder and facilitate pain reduction. Of these, the most robust evidence available was for massage therapy, indicating it is an effective intervention for numerous age groups and populations. Rolfing and reflexology had the least amount of support, with few studies available that had small sample sizes. Although these conclusions are limited by scarcity of high-quality empirical data and contradictory findings, available evidence indicates that body-centered interventions can be effective in reducing psychopathology and supports the proposed mechanism of the bidirectional pathway between the brain and body: the body holds the potential to influence the mind. Integrating body-centered therapies in both clinical settings and as self-care could lead to better outcomes. Lastly, we propose the first taxonomy of body-centered interventions and empirical evidence of their effectiveness for clinicians and researchers.","systematic review","Frontiers in Psychology","2","10.3389/fpsyg.2019.02907","https://consensus.app/papers/bodycentered-interventions-for-psychopathological-tarsha-park/2c5f8175005457959c763748005ce6b9/"
"An RCT-reticulated meta-analysis of six MBE therapies affecting college students' negative psychology","Tai Chi, yoga, Yi Jin Jing, Five Animal Play, and Qigong Meditation effectively improve anxiety and depression in college students.","Haojie Li, Zhihao Du, Shunze Shen, Wenya Du, Junhao Kang, Deming Gong",2023,10,"","meta-analysis","iScience","1","10.1016/j.isci.2023.107026","https://consensus.app/papers/an-rctreticulated-metaanalysis-of-six-mbe-therapies-li-du/9228b77d91005a2c82188b461a92ea24/"
"The effects of mind-body exercise on anxiety and depression in older adults: a systematic review and network meta-analysis","Mind-body exercises, particularly Tai Chi, effectively improve anxiety and depression in older adults.","Yangjian Dong, Xinxin Zhang, Rongting Zhao, Lan Cao, Xiaoqin Kuang, Jiwei Yao",2024,32,"Limited research directly compares the clinical effects of different types of mind-body exercises on anxiety and depression in older adults. Therefore, we conducted a systematic review and network meta-analysis of randomized controlled trials that meet the inclusion criteria to explore the intervention effects of five different types of mind-body exercises in improving anxiety and depression in older adults. We followed the PRISMA-NMA guidelines and conducted searches in the Web of Science, PubMed, the Cochrane Library, and Embase databases up to July 28, 2023. The language was limited to English. Two independent reviewers conducted literature screening and data extraction. Review Manager 5.4 was used to perform Pairwise meta-analysis and risk assessment, while STATA version 15 software was used for network meta-analysis. A total of 42 studies, involving 2974 participants, were included. The results of the traditional meta-analysis showed that mind-body exercises were superior to the control group in alleviating anxiety (SMD: -0.87, 95% CI: -1.43, -0.31, p<0.05, I= 95%) and depressive (SMD: -0.52, 95% CI: -0.71, -0.34, p<0.05, I= 80%). In the network meta-analysis, the ranking of treatment effects for anxiety showed that Tai Chi > Qigong > Yoga > Dance > control group, while for depression, the ranking showed Tai Chi > Pilates > Yoga > Qigong > Dance > control group. This study found that mind-body exercises have positive effects on improving anxiety and depression in older adults. Among the five different types of mind-body exercise interventions, Tai Chi was considered an effective approach for improving anxiety and depression. However, we encourage older adults to choose exercise modalities that suit their interests to enhance adherence. http://www.crd.york.ac.uk/PROSPERO/, identifier CRD42023464296.","meta-analysis","Frontiers in Psychiatry","1","10.3389/fpsyt.2024.1305295","https://consensus.app/papers/the-effects-of-mindbody-exercise-on-anxiety-and-depression-dong-zhang/ae138dd584fe5745b602be63016af620/"
"Somatic experiencing – effectiveness and key factors of a body-oriented trauma therapy: a scoping literature review","Body-oriented trauma therapy shows promising effects on PTSD-related symptoms and well-being, with resource-orientation and touch being key method-specific factors.","Marie Kuhfuß, Tobias Maldei, Andreas Hetmanek, N. Baumann",2021,66,"The body-oriented therapeutic approachtreats post-traumatic symptoms by changing the interoceptive and proprioceptive sensations associated with the traumatic experience. Filling a gap in the landscape of trauma treatments,has attracted growing interest in research and therapeutic practice, recently. To date, there is no literature review of the effectiveness and key factors of. This review aims to summarize initial findings on the effectiveness ofand to outline method-specific key factors of. To gain a first overview of the literature, we conducted a scoping review including studies until 13 August 2020. We identified 83 articles of which 16 fit inclusion criteria and were systematically analysed. Findings provide preliminary evidence for positive effects ofon PTSD-related symptoms. Moreover, initial evidence suggests thathas a positive impact on affective and somatic symptoms and measures of well-being in both traumatized and non-traumatized samples. Practitioners and clients identified resource-orientation and use of touch as method-specific key factors of. Yet, an overall studies quality assessment as well as a Cochrane analysis of risk of bias indicate that the overall study quality is mixed. The results concerning effectiveness and method-specific key factors ofare promising; yet, require more support from unbiased RCT-research. Future research should focus on filling this gap.","systematic review","European Journal of Psychotraumatology","1","10.1080/20008198.2021.1929023","https://consensus.app/papers/somatic-experiencing-%E2%80%93-effectiveness-and-key-factors-of-a-kuhfu%C3%9F-maldei/f85818512c0a577fa5696c2aa1d1500a/"
"Integrating mindfulness and physical activity: a meta-analysis of mindful movement interventions for symptoms of anxiety and depression among university students","Mindful movement interventions significantly reduce anxiety and depression in university students, with no significant differences in effects between yoga, tai chi, and qigong.","Xinjian Xu, B. Abdullah, Shamsulariffin Samsudin, Yongneng Tan",2025,1,"University students are increasingly vulnerable to mental health problems, such as anxiety and depression, which have been associated with academic stress, job market uncertainty, and lifestyle-related factors such as physical inactivity and poor sleep habits. Mindful movement, defined as structured programs integrating mindfulness practice with physical movement, offers a holistic approach to reducing anxiety and depression, though its effectiveness and specific intervention differences-such as duration, delivery mode, and behavior change techniques-remain underexplored. This study evaluated the effects of mindful movement interventions on anxiety and depression among university students. A systematic search of six databases up to August 2024 identified 19 randomized controlled trials involving a total of 1,697 participants. A random-effects model was employed to pool effect sizes; subgroup analyses were conducted to explore sources of heterogeneity, and sensitivity analyses were performed to test the robustness of the results. The meta-analysis indicated that mindful movement interventions significantly reduced anxiety (standardized mean difference (SMD) = -0.42, 95% confidence interval (CI) [-0.52 to -0.31], < 0.0001, = 70%) and depression (Standardized Mean Difference (SMD) = -0.61, 95% CI [-1.01 to -0.20], < 0.0001, = 87%) compared to control groups. Subgroup analyses demonstrated no significant differences in effect sizes across different mindful movement types (yoga, tai chi, qigong). Meta-regression indicated that intervention type did not significantly explain heterogeneity ( = 0.495). Publication bias was not observed in most subgroups, except for potential bias in the tai chi group due to limited studies. Mindful movement interventions are associated with enhanced mental health among university students, with no significant differences in the effects of yoga, tai chi, and qigong on reducing symptoms of anxiety and depression. It supports treating mindful movement as a unified approach to analyzing its impact on mental health. Residual heterogeneity highlights the need for further research on specific intervention elements and intervention and participant-related factors. PROSPERO registration number (CRD42024569238).","meta-analysis","PeerJ","1","10.7717/peerj.19640","https://consensus.app/papers/integrating-mindfulness-and-physical-activity-a-xu-abdullah/2e6d38913760522d8cb12e4a627a396f/"
"Mind-body therapy for treating fibromyalgia: a systematic review","Mind-body therapies, except mindfulness-based stress reduction, show potential benefits in improving pain, fatigue, multidimensional function, and sleep for adults with fibromyalgia.","Jeremy P Steen, Vivek Kannan, Abdullah Zaidi, H. Cramer, Jeremy Y. Ng",2024,13,"Fibromyalgia is a chronic and disabling condition that presents management challenges for both patients and healthcare providers. The objective of this systematic review was to summarize current evidence on the effectiveness and safety of mind-body therapies in the treatment and/or management of fibromyalgia. We searched MEDLINE, EMBASE, PsycINFO, AMED, and CINAHL databases from their inception to December 2023. Eligible articles included adults diagnosed with fibromyalgia participating in a mind-body therapy intervention and were published from the beginning of 2012 onwards. We assessed the quality of the studies using the Joanna Briggs Institute Critical Appraisal Checklists. Of 3866 records screened, 27 studies (30 articles) met our inclusion criteria, in which 22 were randomized controlled trials and 5 were quasi-experimental studies. Mind-body therapies included guided imagery (n = 5), mindfulness-based stress reduction (n = 5), qi gong (n = 5), tai chi (n = 5), biofeedback (n = 3), yoga (n = 2), mindfulness awareness training (n = 1), and progressive muscle relaxation (n = 1). With the exception of mindfulness-based stress reduction, all therapies had at least one study showing significant improvements in pain at the end of treatment. Multiple studies on guided imagery, qi gong, and tai chi observed significant improvements in pain, fatigue, multidimensional function, and sleep. Approximately one-third of the studies reported on adverse events. This review suggests that mind-body therapies are potentially beneficial for adults with fibromyalgia. Further research is necessary to determine if the positive effects observed post-intervention are sustained. Open Science Framework (https://osf.io) (September 12, 2023; https://doi.org/10.17605/osf.io/6w7ac).","systematic review","Pain Medicine: The Official Journal of the American Academy of Pain Medicine","1","10.1093/pm/pnae076","https://consensus.app/papers/mindbody-therapy-for-treating-fibromyalgia-a-systematic-steen-kannan/8fe307674844528cb7833fb2cdd326af/"
"Meditation-based mind-body therapies for negative symptoms of schizophrenia: Systematic review of randomized controlled trials and meta-analysis","Meditation-based mind-body therapies show potential in reducing negative symptoms of schizophrenia, particularly mindfulness-based approaches and yoga, but more research is needed.","M. Sabé, O. Sentissi, S. Kaiser",2019,63,"","meta-analysis","Schizophrenia Research","1","10.1016/j.schres.2019.07.030","https://consensus.app/papers/meditationbased-mindbody-therapies-for-negative-sab%C3%A9-sentissi/df9fb2505346529d824e4258cc7e277b/"
